# Program:featureCounts v2.0.6; Command:"featureCounts" "-Q" "20" "-s" "2" "-p" "-a" "/storage/projects/QUO1015788/ref/REF_cds.gtf" "-T" "5" "-F" "SAF" "-o" "/storage/projects/QUO1015788/2630_A_Rha/2630_A_Rha_cds" "/storage/projects/QUO1015788/2630_A_Rha/2630_A_Rha.sam" 
Geneid	Chr	Start	End	Strand	Length	/storage/projects/QUO1015788/2630_A_Rha/2630_A_Rha.sam
PFLU_0059	OV986001.1	60382	61969	+	1588	161
PFLU_0060	OV986001.1	62107	62668	+	562	45
PFLU_0061	OV986001.1	62703	63591	+	889	63
PFLU_0062	OV986001.1	63597	63801	-	205	40
PFLU_0063	OV986001.1	63829	64594	+	766	32
PFLU_0064	OV986001.1	64559	65144	+	586	11
PFLU_0065	OV986001.1	65154	66234	+	1081	37
PFLU_0066	OV986001.1	66221	67121	+	901	55
PFLU_0067	OV986001.1	67117	67753	+	637	467
PFLU_0068	OV986001.1	67896	68667	-	772	2050
PFLU_0069	OV986001.1	68717	69392	-	676	511
PFLU_0070	OV986001.1	69391	70399	-	1009	702
PFLU_0071	OV986001.1	70664	72806	+	2143	2141
PFLU_0072	OV986001.1	72871	73591	-	721	578
PFLU_0073	OV986001.1	73628	74417	-	790	126
PFLU_0074	OV986001.1	74409	75195	-	787	372
PFLU_0075	OV986001.1	75194	75677	-	484	131
PFLU_0076	OV986001.1	75735	76665	+	931	265
PFLU_0077	OV986001.1	76789	77743	-	955	1095
PFLU_0078	OV986001.1	77799	78090	-	292	406
PFLU_0079	OV986001.1	78152	80942	+	2791	3572
PFLU_0080	OV986001.1	81212	81854	-	643	858
PFLU_0081	OV986001.1	82046	82349	+	304	3078
PFLU_0082	OV986001.1	82383	83010	+	628	4562
PFLU_0083	OV986001.1	83178	83814	+	637	3149
PFLU_0084	OV986001.1	83824	84703	+	880	2593
PFLU_0085	OV986001.1	84699	86754	+	2056	1054
PFLU_0086	OV986001.1	86842	87655	+	814	447
PFLU_0087	OV986001.1	87714	89502	-	1789	934
PFLU_0088	OV986001.1	89512	90859	-	1348	1973
PFLU_0089	OV986001.1	91238	91523	+	286	1720
PFLU_0090	OV986001.1	91601	91766	+	166	693
PFLU_0091	OV986001.1	91768	92236	+	469	1284
PFLU_0093	OV986001.1	93000	94332	+	1333	1796
PFLU_0094	OV986001.1	94430	95660	+	1231	295
PFLU_0095	OV986001.1	95752	96364	-	613	306
PFLU_0096	OV986001.1	96360	97299	-	940	460
PFLU_0097	OV986001.1	97300	98104	-	805	88
PFLU_0098	OV986001.1	98100	99249	-	1150	278
PFLU_0099	OV986001.1	99302	100334	-	1033	245
PFLU_0100	OV986001.1	100406	101789	-	1384	558
PFLU_0101	OV986001.1	101846	103505	-	1660	822
PFLU_0102	OV986001.1	103908	104676	-	769	807
PFLU_0103	OV986001.1	104744	106052	-	1309	896
PFLU_0104	OV986001.1	106429	108391	-	1963	844
PFLU_0105	OV986001.1	108387	108708	-	322	562
PFLU_0106	OV986001.1	108746	109055	-	310	227
PFLU_0107	OV986001.1	109158	109479	-	322	265
PFLU_0108	OV986001.1	109615	109801	-	187	63
PFLU_0109	OV986001.1	110064	110280	-	217	909
PFLU_0110	OV986001.1	110598	112092	-	1495	2249
PFLU_0111	OV986001.1	112271	113708	-	1438	696
PFLU_0112	OV986001.1	113707	114028	-	322	151
PFLU_0113	OV986001.1	114043	115165	-	1123	1370
PFLU_0114	OV986001.1	115617	116517	-	901	169
PFLU_0115	OV986001.1	116675	117857	+	1183	503
PFLU_0116	OV986001.1	117869	119090	+	1222	321
PFLU_0117	OV986001.1	125625	127506	+	1882	139
PFLU_0118	OV986001.1	127545	128004	-	460	19
PFLU_0119	OV986001.1	128023	131395	-	3373	161
PFLU_0120	OV986001.1	131391	132339	-	949	97
PFLU_0121	OV986001.1	132325	133093	-	769	70
PFLU_0122	OV986001.1	133465	134164	-	700	154
PFLU_0123	OV986001.1	134475	135369	+	895	63
PFLU_0124	OV986001.1	135377	136409	+	1033	40
PFLU_0125	OV986001.1	136410	137262	+	853	39
PFLU_0126	OV986001.1	137273	138122	+	850	25
PFLU_0127	OV986001.1	138221	138848	+	628	107
PFLU_0128	OV986001.1	138900	139821	+	922	150
PFLU_0129	OV986001.1	140045	141581	+	1537	40
PFLU_0130	OV986001.1	141596	142655	+	1060	34
PFLU_0131	OV986001.1	142651	144097	+	1447	46
PFLU_0132	OV986001.1	144122	144827	-	706	143
PFLU_0133	OV986001.1	144823	146992	-	2170	1091
PFLU_0134	OV986001.1	147171	148776	+	1606	429
PFLU_0135	OV986001.1	148809	149064	+	256	56
PFLU_0136	OV986001.1	149413	149851	+	439	51
PFLU_0137	OV986001.1	149847	151926	+	2080	221
PFLU_0138	OV986001.1	151922	152132	+	211	16
PFLU_0139	OV986001.1	152128	153019	+	892	152
PFLU_0140	OV986001.1	153015	154458	+	1444	143
PFLU_0141	OV986001.1	154518	155172	+	655	87
PFLU_0142	OV986001.1	155318	156815	+	1498	2012
PFLU_0143	OV986001.1	157115	159596	+	2482	500
PFLU_0144	OV986001.1	159608	161606	+	1999	264
PFLU_0145	OV986001.1	161608	162949	+	1342	229
PFLU_0146	OV986001.1	162945	163434	+	490	62
PFLU_0147	OV986001.1	163810	165535	+	1726	1010
PFLU_0148	OV986001.1	165559	173761	+	8203	3201
PFLU_0148A	OV986001.1	174227	174917	+	691	456
PFLU_0149	OV986001.1	175182	176001	+	820	293
PFLU_0150	OV986001.1	176426	176825	+	400	168
PFLU_0151	OV986001.1	176824	176959	+	136	0
PFLU_0152	OV986001.1	176984	177434	+	451	384
PFLU_0153	OV986001.1	177524	178028	+	505	189
PFLU_0154	OV986001.1	178328	178856	+	529	200
PFLU_0155	OV986001.1	178852	179269	+	418	278
PFLU_0156	OV986001.1	179301	179775	+	475	326
PFLU_0157	OV986001.1	179782	180073	+	292	104
PFLU_0158	OV986001.1	180103	180217	+	115	63
PFLU_0159	OV986001.1	180318	180906	-	589	20
PFLU_0160	OV986001.1	180922	181534	-	613	5
PFLU_0161	OV986001.1	181805	182387	+	583	355
PFLU_0162	OV986001.1	182426	183107	+	682	1283
PFLU_0163	OV986001.1	183136	183499	+	364	439
PFLU_0164	OV986001.1	183495	184146	+	652	732
PFLU_0165	OV986001.1	184234	185890	+	1657	327
PFLU_0166	OV986001.1	186028	186601	+	574	240
PFLU_0167	OV986001.1	186597	187191	+	595	214
PFLU_0170	OV986001.1	189178	190405	+	1228	898
PFLU_0171	OV986001.1	190401	192234	+	1834	913
PFLU_0172	OV986001.1	192867	195042	+	2176	1322
PFLU_0173	OV986001.1	195684	196527	-	844	565
PFLU_0174	OV986001.1	196625	199514	-	2890	482
PFLU_0175	OV986001.1	199510	199783	-	274	6
PFLU_0176	OV986001.1	199779	200064	-	286	13
PFLU_0177	OV986001.1	200060	200546	-	487	203
PFLU_0178	OV986001.1	200593	200941	-	349	127
PFLU_0179	OV986001.1	201768	203004	-	1237	546
PFLU_0180	OV986001.1	203618	205061	+	1444	4700
PFLU_0181	OV986001.1	205246	206524	+	1279	4697
PFLU_0182	OV986001.1	206663	207872	+	1210	141
PFLU_0183	OV986001.1	207934	208942	-	1009	345
PFLU_0184	OV986001.1	209124	210309	-	1186	3581
PFLU_0185	OV986001.1	210397	212386	+	1990	1088
PFLU_0186	OV986001.1	212687	212870	+	184	38
PFLU_0187	OV986001.1	212944	213955	+	1012	157
PFLU_0188	OV986001.1	214198	215017	+	820	194
PFLU_0189	OV986001.1	215030	215903	+	874	238
PFLU_0190	OV986001.1	215906	216887	+	982	634
PFLU_0191	OV986001.1	216953	217481	-	529	71
PFLU_0192	OV986001.1	217564	218251	+	688	292
PFLU_0193	OV986001.1	218245	218656	-	412	20
PFLU_0194	OV986001.1	218682	219156	-	475	8
PFLU_0195	OV986001.1	219256	219622	+	367	66
PFLU_0196	OV986001.1	219749	220754	-	1006	222
PFLU_0197	OV986001.1	220855	221935	+	1081	55
PFLU_0198	OV986001.1	221906	223517	-	1612	103
PFLU_0199	OV986001.1	223533	224349	-	817	14
PFLU_0200	OV986001.1	224345	225938	-	1594	31
PFLU_0201	OV986001.1	226226	227228	+	1003	8
PFLU_0202	OV986001.1	227281	228202	-	922	50
PFLU_0203	OV986001.1	228381	229287	+	907	67
PFLU_0204	OV986001.1	229387	230995	-	1609	49
PFLU_0205	OV986001.1	231095	232040	-	946	34
PFLU_0206	OV986001.1	232195	234511	+	2317	80
PFLU_0207	OV986001.1	234481	235669	-	1189	41
PFLU_0208	OV986001.1	235777	236644	+	868	107
PFLU_0209	OV986001.1	236868	237684	+	817	27
PFLU_0210	OV986001.1	237738	238458	+	721	30
PFLU_0211	OV986001.1	238459	238861	+	403	86
PFLU_0213	OV986001.1	239190	239772	+	583	103
PFLU_0214	OV986001.1	239821	240742	+	922	118
PFLU_0215	OV986001.1	240892	241675	+	784	389
PFLU_0216	OV986001.1	242102	242636	-	535	178
PFLU_0218	OV986001.1	242635	242929	-	295	77
PFLU_0219	OV986001.1	242916	243189	-	274	343
PFLU_0220	OV986001.1	243384	243951	+	568	139
PFLU_0222	OV986001.1	244142	244536	+	395	5
PFLU_0223	OV986001.1	244536	245125	+	590	60
PFLU_0225	OV986001.1	245909	246114	+	206	4
PFLU_0227	OV986001.1	246614	247280	+	667	54
PFLU_0228	OV986001.1	247260	247920	+	661	19
PFLU_0229	OV986001.1	247916	248693	+	778	89
PFLU_0230	OV986001.1	248689	249544	+	856	52
PFLU_0231	OV986001.1	249642	250803	-	1162	128
PFLU_0232	OV986001.1	251059	252142	+	1084	316
PFLU_0233	OV986001.1	252138	253209	+	1072	214
PFLU_0234	OV986001.1	253205	256271	+	3067	654
PFLU_0235	OV986001.1	256515	258693	+	2179	130
PFLU_0236	OV986001.1	258809	259436	-	628	79
PFLU_0237	OV986001.1	259476	260121	-	646	13
PFLU_0238	OV986001.1	260110	261226	-	1117	27
PFLU_0239	OV986001.1	261222	262038	-	817	16
PFLU_0240	OV986001.1	262119	263472	-	1354	26
PFLU_0241	OV986001.1	263471	264665	-	1195	37
PFLU_0242	OV986001.1	264689	265931	-	1243	47
PFLU_0243	OV986001.1	266118	266913	-	796	33
PFLU_0244	OV986001.1	267257	268004	-	748	687
PFLU_0245	OV986001.1	268007	268673	-	667	476
PFLU_0246	OV986001.1	268672	269467	-	796	1260
PFLU_0247	OV986001.1	269746	270742	-	997	386
PFLU_0248	OV986001.1	270878	271835	+	958	189
PFLU_0249	OV986001.1	272192	274193	+	2002	779
PFLU_0250	OV986001.1	274371	275727	+	1357	39
PFLU_0251	OV986001.1	275835	276873	+	1039	2079
PFLU_0252	OV986001.1	276988	277825	-	838	51
PFLU_0253	OV986001.1	277836	278673	-	838	10
PFLU_0254	OV986001.1	278669	279449	-	781	16
PFLU_0255	OV986001.1	279466	280444	-	979	46
PFLU_0256	OV986001.1	280713	282297	-	1585	3479
PFLU_0257	OV986001.1	282511	282895	-	385	310
PFLU_0258	OV986001.1	282894	285219	-	2326	5762
PFLU_0259	OV986001.1	285576	286317	+	742	3086
PFLU_0260	OV986001.1	286433	287747	+	1315	1538
PFLU_0261	OV986001.1	287817	288723	-	907	332
PFLU_0262	OV986001.1	288719	289202	-	484	112
PFLU_0263	OV986001.1	289215	289995	-	781	237
PFLU_0264	OV986001.1	290111	290519	+	409	198
PFLU_0265	OV986001.1	290633	291437	-	805	2455
PFLU_0266	OV986001.1	291562	292465	+	904	1722
PFLU_0267	OV986001.1	292644	294186	+	1543	5586
PFLU_0268	OV986001.1	294198	294339	+	142	4
PFLU_0269	OV986001.1	294470	295172	-	703	133
PFLU_0270	OV986001.1	295459	296059	-	601	585
PFLU_0271	OV986001.1	296058	296229	-	172	929
PFLU_0272	OV986001.1	296405	297581	+	1177	730
PFLU_0274	OV986001.1	297864	299808	+	1945	904
PFLU_0275	OV986001.1	299936	300791	+	856	184
PFLU_0276	OV986001.1	300852	301284	+	433	237
PFLU_0277	OV986001.1	301506	301986	-	481	702
PFLU_0278	OV986001.1	302353	304702	-	2350	415
PFLU_0279	OV986001.1	304698	305538	-	841	101
PFLU_0280	OV986001.1	305635	306523	-	889	909
PFLU_0281	OV986001.1	306655	307096	+	442	555
PFLU_0282	OV986001.1	307141	307804	-	664	63
PFLU_0283	OV986001.1	307891	308458	+	568	112
PFLU_0284	OV986001.1	308454	309291	+	838	245
PFLU_0285	OV986001.1	309357	309813	-	457	213
PFLU_0286	OV986001.1	309839	311216	-	1378	272
PFLU_0287	OV986001.1	311212	313021	-	1810	377
PFLU_0288	OV986001.1	313057	313927	-	871	600
PFLU_0289	OV986001.1	313923	314469	-	547	630
PFLU_0290	OV986001.1	314465	315341	-	877	1673
PFLU_0291	OV986001.1	315337	316420	-	1084	2053
PFLU_0292	OV986001.1	316571	319481	+	2911	1255
PFLU_0293	OV986001.1	319602	320709	+	1108	816
PFLU_0294	OV986001.1	320900	321158	+	259	19
PFLU_0295	OV986001.1	321222	323310	-	2089	77
PFLU_0296	OV986001.1	323721	325023	+	1303	14525
PFLU_0297	OV986001.1	325173	325566	+	394	20
PFLU_0299	OV986001.1	326111	326519	+	409	956
PFLU_0300	OV986001.1	327255	328290	+	1036	2104
PFLU_0301	OV986001.1	328286	330506	+	2221	1623
PFLU_0302	OV986001.1	330502	332770	+	2269	2250
PFLU_0303	OV986001.1	332766	333963	+	1198	1269
PFLU_0304	OV986001.1	333944	337784	+	3841	4489
PFLU_0305	OV986001.1	337800	338466	+	667	1508
PFLU_0306	OV986001.1	338465	339131	+	667	783
PFLU_0307	OV986001.1	339148	340564	+	1417	993
PFLU_0308	OV986001.1	340576	341701	+	1126	522
PFLU_0309	OV986001.1	341763	342813	+	1051	686
PFLU_0310	OV986001.1	343054	344245	-	1192	262
PFLU_0311	OV986001.1	344222	344912	-	691	425
PFLU_0312	OV986001.1	344911	345604	-	694	328
PFLU_0313	OV986001.1	345678	346431	-	754	2460
PFLU_0314	OV986001.1	346444	347218	-	775	1292
PFLU_0315	OV986001.1	347772	349164	+	1393	1375
PFLU_0316	OV986001.1	349282	349696	-	415	137
PFLU_0317	OV986001.1	349699	350653	-	955	126
PFLU_0318	OV986001.1	350826	351792	+	967	74
PFLU_0319	OV986001.1	351879	353472	+	1594	230
PFLU_0320	OV986001.1	353561	353837	+	277	123
PFLU_0321	OV986001.1	353986	354544	+	559	370
PFLU_0322	OV986001.1	354809	355082	-	274	439
PFLU_0323	OV986001.1	355078	356146	-	1069	961
PFLU_0324	OV986001.1	356142	358353	-	2212	3009
PFLU_0325	OV986001.1	358677	360339	+	1663	665
PFLU_0327	OV986001.1	360640	361234	+	595	1954
PFLU_0328	OV986001.1	361233	361872	+	640	1168
PFLU_0329	OV986001.1	361872	362130	+	259	228
PFLU_0330	OV986001.1	362169	362907	+	739	969
PFLU_0331	OV986001.1	362916	363687	+	772	714
PFLU_0332	OV986001.1	363753	364509	+	757	343
PFLU_0333	OV986001.1	364512	366105	-	1594	53
PFLU_0334	OV986001.1	366166	366955	-	790	127
PFLU_0335	OV986001.1	366956	368273	-	1318	2190
PFLU_0336	OV986001.1	368303	369599	-	1297	1374
PFLU_0337	OV986001.1	369796	371323	-	1528	4520
PFLU_0338	OV986001.1	371471	371888	+	418	476
PFLU_0339	OV986001.1	371889	372144	+	256	381
PFLU_0340	OV986001.1	372183	372663	+	481	2913
PFLU_0341	OV986001.1	372782	373238	-	457	243
PFLU_0342	OV986001.1	373236	373677	+	442	122
PFLU_0343	OV986001.1	374209	375646	-	1438	1
PFLU_0344	OV986001.1	375642	376728	-	1087	8
PFLU_0345	OV986001.1	377023	377449	-	427	55
PFLU_0346	OV986001.1	377526	378063	-	538	350
PFLU_0347	OV986001.1	378511	378748	+	238	45
PFLU_0348	OV986001.1	378824	380231	-	1408	7014
PFLU_0349	OV986001.1	380565	382020	+	1456	3436
PFLU_0350	OV986001.1	382159	383980	+	1822	9626
PFLU_0351	OV986001.1	384206	384641	-	436	28
PFLU_0352	OV986001.1	384880	387331	+	2452	1772
PFLU_0353	OV986001.1	387490	391015	+	3526	906
PFLU_0354	OV986001.1	391011	392367	+	1357	478
PFLU_0355	OV986001.1	392475	393486	+	1012	2547
PFLU_0356	OV986001.1	393662	393917	+	256	298
PFLU_0357	OV986001.1	393947	394517	+	571	457
PFLU_0358	OV986001.1	394646	396011	-	1366	459
PFLU_0359	OV986001.1	396119	396869	+	751	367
PFLU_0360	OV986001.1	396865	397426	+	562	142
PFLU_0361	OV986001.1	397832	399503	+	1672	546
PFLU_0362	OV986001.1	399581	401027	+	1447	172
PFLU_0363	OV986001.1	401096	402062	+	967	99
PFLU_0364	OV986001.1	402133	402985	+	853	112
PFLU_0365	OV986001.1	402981	403806	+	826	214
PFLU_0366	OV986001.1	403943	405458	+	1516	241
PFLU_0367	OV986001.1	405504	407043	+	1540	409
PFLU_0368	OV986001.1	407244	408654	+	1411	207
PFLU_0369	OV986001.1	408666	409875	+	1210	194
PFLU_0370	OV986001.1	409887	410688	+	802	329
PFLU_0371	OV986001.1	411002	411974	+	973	1108
PFLU_0372	OV986001.1	411970	412408	+	439	297
PFLU_0373	OV986001.1	412735	414412	+	1678	4381
PFLU_0374	OV986001.1	414404	416975	+	2572	4227
PFLU_0375	OV986001.1	417160	417961	+	802	50
PFLU_0376	OV986001.1	418175	418979	+	805	1834
PFLU_0377	OV986001.1	419016	419976	+	961	1035
PFLU_0378	OV986001.1	419968	420703	+	736	445
PFLU_0379	OV986001.1	420896	422804	-	1909	67
PFLU_0380	OV986001.1	422931	424848	-	1918	42
PFLU_0381	OV986001.1	424955	425663	-	709	400
PFLU_0382	OV986001.1	425659	426451	-	793	820
PFLU_0383	OV986001.1	426447	426852	-	406	672
PFLU_0384	OV986001.1	426862	427141	-	280	730
PFLU_0385	OV986001.1	427166	427499	-	334	724
PFLU_0386	OV986001.1	427501	427894	-	394	321
PFLU_0387	OV986001.1	427935	429540	-	1606	9493
PFLU_0388	OV986001.1	429536	430160	-	625	727
PFLU_0389	OV986001.1	430159	430930	-	772	1284
PFLU_0390	OV986001.1	431074	431350	+	277	123
PFLU_0391	OV986001.1	431455	431878	+	424	1010
PFLU_0392	OV986001.1	431890	432838	+	949	7753
PFLU_0393	OV986001.1	432886	433510	-	625	532
PFLU_0394	OV986001.1	433537	435220	-	1684	1083
PFLU_0395	OV986001.1	435308	436154	-	847	427
PFLU_0396	OV986001.1	436299	437979	-	1681	1627
PFLU_0397	OV986001.1	438228	438606	-	379	204
PFLU_0398	OV986001.1	438754	440092	-	1339	5742
PFLU_0399	OV986001.1	440129	440660	-	532	3329
PFLU_0400	OV986001.1	440917	441619	-	703	817
PFLU_0401	OV986001.1	441620	443357	-	1738	3502
PFLU_0402	OV986001.1	443576	445796	-	2221	422
PFLU_0403	OV986001.1	446022	446256	+	235	3825
PFLU_0404	OV986001.1	446288	447077	+	790	349
PFLU_0405	OV986001.1	447258	448527	+	1270	6353
PFLU_0406	OV986001.1	448741	451204	-	2464	2321
PFLU_0407	OV986001.1	451421	452075	+	655	103
PFLU_0408	OV986001.1	452071	452626	+	556	490
PFLU_0409	OV986001.1	452622	453588	+	967	145
PFLU_0410	OV986001.1	453723	454983	+	1261	147
PFLU_0411	OV986001.1	454987	455506	+	520	660
PFLU_0412	OV986001.1	455631	456732	+	1102	3616
PFLU_0413	OV986001.1	456741	458295	+	1555	3504
PFLU_0414	OV986001.1	458646	463092	+	4447	5614
PFLU_0415	OV986001.1	463124	464543	+	1420	784
PFLU_0416	OV986001.1	464786	465854	+	1069	2273
PFLU_0417	OV986001.1	465974	467249	-	1276	205
PFLU_0418	OV986001.1	467373	468267	+	895	50
PFLU_0419	OV986001.1	468439	468883	-	445	346
PFLU_0420	OV986001.1	468909	470136	-	1228	814
PFLU_0421	OV986001.1	470135	470864	-	730	231
PFLU_0422	OV986001.1	470860	471322	-	463	123
PFLU_0423	OV986001.1	471318	472485	-	1168	490
PFLU_0424	OV986001.1	472481	472964	-	484	49
PFLU_0425	OV986001.1	472960	473710	-	751	212
PFLU_0426	OV986001.1	473706	474954	-	1249	276
PFLU_0427	OV986001.1	474987	477300	-	2314	459
PFLU_0428	OV986001.1	477289	477862	-	574	177
PFLU_0429	OV986001.1	477987	478413	-	427	224
PFLU_0430	OV986001.1	478405	479947	-	1543	425
PFLU_0431	OV986001.1	479930	481597	-	1668	366
PFLU_0433	OV986001.1	481746	483417	-	1672	433
PFLU_0434	OV986001.1	483413	483959	-	547	128
PFLU_0435	OV986001.1	483955	484210	-	256	53
PFLU_0436	OV986001.1	484219	484489	-	271	295
PFLU_0437	OV986001.1	484466	485279	-	814	244
PFLU_0438	OV986001.1	485254	485974	-	721	258
PFLU_0439	OV986001.1	486322	487093	+	772	2622
PFLU_0440	OV986001.1	487489	487711	+	223	230
PFLU_0441	OV986001.1	487758	488193	-	436	936
PFLU_0442	OV986001.1	488429	488726	+	298	182
PFLU_0443	OV986001.1	488722	489124	+	403	630
PFLU_0444	OV986001.1	489128	490592	-	1465	119
PFLU_0445	OV986001.1	490640	494024	-	3385	2398
PFLU_0446	OV986001.1	494074	495817	-	1744	3168
PFLU_0447	OV986001.1	496151	497777	-	1627	24
PFLU_0448	OV986001.1	498054	498285	+	232	22
PFLU_0449	OV986001.1	498281	498575	+	295	62
PFLU_0450	OV986001.1	498571	500374	-	1804	329
PFLU_0451	OV986001.1	500578	504532	-	3955	5747
PFLU_0452	OV986001.1	504992	506477	+	1486	1128
PFLU_0453	OV986001.1	506681	508706	+	2026	62
PFLU_0454	OV986001.1	508715	509405	+	691	8
PFLU_0455	OV986001.1	509390	510668	-	1279	267
PFLU_0456	OV986001.1	510841	511678	+	838	475
PFLU_0457	OV986001.1	511838	512486	-	649	507
PFLU_0458	OV986001.1	512559	515244	-	2686	1218
PFLU_0459	OV986001.1	515559	517209	-	1651	18366
PFLU_0460	OV986001.1	517220	519866	-	2647	50267
PFLU_0461	OV986001.1	520249	523189	+	2941	1954
PFLU_0462	OV986001.1	523243	524278	+	1036	818
PFLU_0463	OV986001.1	524279	525341	+	1063	613
PFLU_0464	OV986001.1	525340	526465	+	1126	1387
PFLU_0465	OV986001.1	526461	527268	+	808	456
PFLU_0466	OV986001.1	527267	528002	+	736	345
PFLU_0467	OV986001.1	527998	528751	+	754	418
PFLU_0468	OV986001.1	528750	530202	+	1453	1321
PFLU_0469	OV986001.1	530588	531569	+	982	16
PFLU_0470	OV986001.1	531568	531736	+	169	0
PFLU_0471	OV986001.1	531878	532805	+	928	14
PFLU_0472	OV986001.1	532811	534200	-	1390	437
PFLU_0473	OV986001.1	534275	536381	-	2107	218
PFLU_0474	OV986001.1	536553	536931	+	379	33
PFLU_0475	OV986001.1	537073	538831	+	1759	5395
PFLU_0476	OV986001.1	538831	539728	+	898	1037
PFLU_0477	OV986001.1	539697	541125	+	1429	1315
PFLU_0478	OV986001.1	541184	542333	+	1150	1272
PFLU_0479	OV986001.1	542329	543211	+	883	1016
PFLU_0480	OV986001.1	543265	545221	-	1957	1849
PFLU_0481	OV986001.1	545287	547093	+	1807	2099
PFLU_0482	OV986001.1	547362	548787	+	1426	2633
PFLU_0483	OV986001.1	548779	549706	+	928	1585
PFLU_0485	OV986001.1	550480	551440	-	961	480
PFLU_0486	OV986001.1	551481	552294	-	814	665
PFLU_0487	OV986001.1	552290	553466	-	1177	549
PFLU_0488	OV986001.1	553521	553857	-	337	67
PFLU_0489	OV986001.1	553959	554850	+	892	61
PFLU_0490	OV986001.1	554873	556151	+	1279	628
PFLU_0491	OV986001.1	556273	557713	-	1441	1470
PFLU_0492	OV986001.1	558161	560066	+	1906	243
PFLU_0493	OV986001.1	560228	561518	+	1291	13
PFLU_0494	OV986001.1	561486	562233	-	748	576
PFLU_0495	OV986001.1	562426	563044	+	619	910
PFLU_0496	OV986001.1	563034	563484	+	451	732
PFLU_0497	OV986001.1	563600	564398	+	799	478
PFLU_0498	OV986001.1	564604	565213	+	610	540
PFLU_0499	OV986001.1	565258	567163	+	1906	4544
PFLU_0500	OV986001.1	567162	568158	+	997	832
PFLU_0501	OV986001.1	568231	570496	+	2266	5994
