# Program:featureCounts v2.0.6; Command:"featureCounts" "-Q" "20" "-s" "2" "-p" "-a" "/storage/projects/QUO1015788/ref/REF_cds.gtf" "-T" "5" "-F" "SAF" "-o" "/storage/projects/QUO1015788/2209_6/2209_6_cds" "/storage/projects/QUO1015788/2209_6/2209_6.sam" 
Geneid	Chr	Start	End	Strand	Length	/storage/projects/QUO1015788/2209_6/2209_6.sam
PFLU_0031	OV986001.1	33859	34480	+	622	97
PFLU_0032	OV986001.1	34528	35677	+	1150	539
PFLU_0033	OV986001.1	35792	37103	+	1312	55
PFLU_0034	OV986001.1	37285	37726	-	442	29
PFLU_0035	OV986001.1	37862	38672	-	811	836
PFLU_0036	OV986001.1	38671	39898	-	1228	609
PFLU_0037	OV986001.1	40008	40905	+	898	68
PFLU_0038	OV986001.1	40916	41243	-	328	790
PFLU_0039	OV986001.1	41397	41613	+	217	484
PFLU_0040	OV986001.1	41728	41956	+	229	803
PFLU_0041	OV986001.1	42107	43109	-	1003	546
PFLU_0042	OV986001.1	43327	43759	+	433	545
PFLU_0043	OV986001.1	43966	44206	+	241	514
PFLU_0044	OV986001.1	44206	44629	-	424	166
PFLU_0045	OV986001.1	44772	45816	+	1045	354
PFLU_0046	OV986001.1	45901	46561	-	661	337
PFLU_0047	OV986001.1	46557	47100	-	544	464
PFLU_0048	OV986001.1	47193	49254	+	2062	6000
PFLU_0049	OV986001.1	49250	49526	+	277	300
PFLU_0050	OV986001.1	49599	50265	-	667	36
PFLU_0051	OV986001.1	50529	51282	+	754	794
PFLU_0052	OV986001.1	51284	53069	+	1786	1906
PFLU_0053	OV986001.1	53075	54380	+	1306	1060
PFLU_0054	OV986001.1	54461	55520	+	1060	129
PFLU_0055	OV986001.1	55771	56479	+	709	2223
PFLU_0056	OV986001.1	56564	58112	+	1549	564
PFLU_0057	OV986001.1	58180	58828	-	649	890
PFLU_0058	OV986001.1	59196	60324	+	1129	585
PFLU_0059	OV986001.1	60382	61969	+	1588	193
PFLU_0060	OV986001.1	62107	62668	+	562	100
PFLU_0061	OV986001.1	62703	63591	+	889	71
PFLU_0062	OV986001.1	63597	63801	-	205	40
PFLU_0063	OV986001.1	63829	64594	+	766	41
PFLU_0064	OV986001.1	64559	65144	+	586	22
PFLU_0065	OV986001.1	65154	66234	+	1081	29
PFLU_0066	OV986001.1	66221	67121	+	901	85
PFLU_0067	OV986001.1	67117	67753	+	637	828
PFLU_0068	OV986001.1	67896	68667	-	772	3055
PFLU_0069	OV986001.1	68717	69392	-	676	706
PFLU_0070	OV986001.1	69391	70399	-	1009	739
PFLU_0071	OV986001.1	70664	72806	+	2143	2483
PFLU_0072	OV986001.1	72871	73591	-	721	506
PFLU_0073	OV986001.1	73628	74417	-	790	212
PFLU_0074	OV986001.1	74409	75195	-	787	462
PFLU_0075	OV986001.1	75194	75677	-	484	128
PFLU_0076	OV986001.1	75735	76665	+	931	577
PFLU_0077	OV986001.1	76789	77743	-	955	1307
PFLU_0078	OV986001.1	77799	78090	-	292	550
PFLU_0079	OV986001.1	78152	80942	+	2791	5265
PFLU_0080	OV986001.1	81212	81854	-	643	1673
PFLU_0081	OV986001.1	82046	82349	+	304	3750
PFLU_0082	OV986001.1	82383	83010	+	628	4297
PFLU_0083	OV986001.1	83178	83814	+	637	3154
PFLU_0084	OV986001.1	83824	84703	+	880	3205
PFLU_0085	OV986001.1	84699	86754	+	2056	2294
PFLU_0086	OV986001.1	86842	87655	+	814	526
PFLU_0087	OV986001.1	87714	89502	-	1789	1391
PFLU_0088	OV986001.1	89512	90859	-	1348	1830
PFLU_0089	OV986001.1	91238	91523	+	286	662
PFLU_0090	OV986001.1	91601	91766	+	166	321
PFLU_0091	OV986001.1	91768	92236	+	469	698
PFLU_0093	OV986001.1	93000	94332	+	1333	1295
PFLU_0094	OV986001.1	94430	95660	+	1231	395
PFLU_0095	OV986001.1	95752	96364	-	613	483
PFLU_0096	OV986001.1	96360	97299	-	940	635
PFLU_0097	OV986001.1	97300	98104	-	805	114
PFLU_0098	OV986001.1	98100	99249	-	1150	451
PFLU_0099	OV986001.1	99302	100334	-	1033	545
PFLU_0100	OV986001.1	100406	101789	-	1384	703
PFLU_0101	OV986001.1	101846	103505	-	1660	1018
PFLU_0102	OV986001.1	103908	104676	-	769	551
PFLU_0103	OV986001.1	104744	106052	-	1309	186
PFLU_0104	OV986001.1	106429	108391	-	1963	1350
PFLU_0105	OV986001.1	108387	108708	-	322	718
PFLU_0106	OV986001.1	108746	109055	-	310	412
PFLU_0107	OV986001.1	109158	109479	-	322	262
PFLU_0108	OV986001.1	109615	109801	-	187	48
PFLU_0109	OV986001.1	110064	110280	-	217	1067
PFLU_0110	OV986001.1	110598	112092	-	1495	5491
PFLU_0111	OV986001.1	112271	113708	-	1438	874
PFLU_0112	OV986001.1	113707	114028	-	322	162
PFLU_0113	OV986001.1	114043	115165	-	1123	1015
PFLU_0114	OV986001.1	115617	116517	-	901	210
PFLU_0115	OV986001.1	116675	117857	+	1183	558
PFLU_0116	OV986001.1	117869	119090	+	1222	436
PFLU_0117	OV986001.1	125625	127506	+	1882	213
PFLU_0118	OV986001.1	127545	128004	-	460	25
PFLU_0119	OV986001.1	128023	131395	-	3373	229
PFLU_0120	OV986001.1	131391	132339	-	949	126
PFLU_0121	OV986001.1	132325	133093	-	769	56
PFLU_0122	OV986001.1	133465	134164	-	700	258
PFLU_0123	OV986001.1	134475	135369	+	895	49
PFLU_0124	OV986001.1	135377	136409	+	1033	57
PFLU_0125	OV986001.1	136410	137262	+	853	23
PFLU_0126	OV986001.1	137273	138122	+	850	33
PFLU_0127	OV986001.1	138221	138848	+	628	183
PFLU_0128	OV986001.1	138900	139821	+	922	163
PFLU_0129	OV986001.1	140045	141581	+	1537	65
PFLU_0130	OV986001.1	141596	142655	+	1060	36
PFLU_0131	OV986001.1	142651	144097	+	1447	51
PFLU_0132	OV986001.1	144122	144827	-	706	142
PFLU_0133	OV986001.1	144823	146992	-	2170	1277
PFLU_0134	OV986001.1	147171	148776	+	1606	519
PFLU_0135	OV986001.1	148809	149064	+	256	80
PFLU_0136	OV986001.1	149413	149851	+	439	191
PFLU_0137	OV986001.1	149847	151926	+	2080	421
PFLU_0138	OV986001.1	151922	152132	+	211	44
PFLU_0139	OV986001.1	152128	153019	+	892	146
PFLU_0140	OV986001.1	153015	154458	+	1444	272
PFLU_0141	OV986001.1	154518	155172	+	655	81
PFLU_0142	OV986001.1	155318	156815	+	1498	2130
PFLU_0143	OV986001.1	157115	159596	+	2482	453
PFLU_0144	OV986001.1	159608	161606	+	1999	225
PFLU_0145	OV986001.1	161608	162949	+	1342	154
PFLU_0146	OV986001.1	162945	163434	+	490	67
PFLU_0147	OV986001.1	163810	165535	+	1726	626
PFLU_0148	OV986001.1	165559	173761	+	8203	3390
PFLU_0148A	OV986001.1	174227	174917	+	691	328
PFLU_0149	OV986001.1	175182	176001	+	820	378
PFLU_0150	OV986001.1	176426	176825	+	400	176
PFLU_0151	OV986001.1	176824	176959	+	136	2
PFLU_0152	OV986001.1	176984	177434	+	451	309
PFLU_0153	OV986001.1	177524	178028	+	505	243
PFLU_0154	OV986001.1	178328	178856	+	529	242
PFLU_0155	OV986001.1	178852	179269	+	418	184
PFLU_0156	OV986001.1	179301	179775	+	475	263
PFLU_0157	OV986001.1	179782	180073	+	292	132
PFLU_0158	OV986001.1	180103	180217	+	115	54
PFLU_0159	OV986001.1	180318	180906	-	589	12
PFLU_0160	OV986001.1	180922	181534	-	613	7
PFLU_0161	OV986001.1	181805	182387	+	583	602
PFLU_0162	OV986001.1	182426	183107	+	682	1714
PFLU_0163	OV986001.1	183136	183499	+	364	786
PFLU_0164	OV986001.1	183495	184146	+	652	1152
PFLU_0165	OV986001.1	184234	185890	+	1657	347
PFLU_0166	OV986001.1	186028	186601	+	574	400
PFLU_0167	OV986001.1	186597	187191	+	595	207
PFLU_0170	OV986001.1	189178	190405	+	1228	1156
PFLU_0171	OV986001.1	190401	192234	+	1834	1367
PFLU_0172	OV986001.1	192867	195042	+	2176	1185
PFLU_0173	OV986001.1	195684	196527	-	844	954
PFLU_0174	OV986001.1	196625	199514	-	2890	687
PFLU_0175	OV986001.1	199510	199783	-	274	16
PFLU_0176	OV986001.1	199779	200064	-	286	14
PFLU_0177	OV986001.1	200060	200546	-	487	177
PFLU_0178	OV986001.1	200593	200941	-	349	80
PFLU_0179	OV986001.1	201768	203004	-	1237	790
PFLU_0180	OV986001.1	203618	205061	+	1444	3741
PFLU_0181	OV986001.1	205246	206524	+	1279	4021
PFLU_0182	OV986001.1	206663	207872	+	1210	179
PFLU_0183	OV986001.1	207934	208942	-	1009	271
PFLU_0184	OV986001.1	209124	210309	-	1186	3142
PFLU_0185	OV986001.1	210397	212386	+	1990	1516
PFLU_0186	OV986001.1	212687	212870	+	184	42
PFLU_0187	OV986001.1	212944	213955	+	1012	144
PFLU_0188	OV986001.1	214198	215017	+	820	285
PFLU_0189	OV986001.1	215030	215903	+	874	318
PFLU_0190	OV986001.1	215906	216887	+	982	851
PFLU_0191	OV986001.1	216953	217481	-	529	78
PFLU_0192	OV986001.1	217564	218251	+	688	301
PFLU_0193	OV986001.1	218245	218656	-	412	14
PFLU_0194	OV986001.1	218682	219156	-	475	2
PFLU_0195	OV986001.1	219256	219622	+	367	84
PFLU_0196	OV986001.1	219749	220754	-	1006	255
PFLU_0197	OV986001.1	220855	221935	+	1081	83
PFLU_0198	OV986001.1	221906	223517	-	1612	163
PFLU_0199	OV986001.1	223533	224349	-	817	17
PFLU_0200	OV986001.1	224345	225938	-	1594	22
PFLU_0201	OV986001.1	226226	227228	+	1003	17
PFLU_0202	OV986001.1	227281	228202	-	922	47
PFLU_0203	OV986001.1	228381	229287	+	907	64
PFLU_0204	OV986001.1	229387	230995	-	1609	65
PFLU_0205	OV986001.1	231095	232040	-	946	30
PFLU_0206	OV986001.1	232195	234511	+	2317	20
PFLU_0207	OV986001.1	234481	235669	-	1189	48
PFLU_0208	OV986001.1	235777	236644	+	868	93
PFLU_0209	OV986001.1	236868	237684	+	817	21
PFLU_0210	OV986001.1	237738	238458	+	721	30
PFLU_0211	OV986001.1	238459	238861	+	403	94
PFLU_0213	OV986001.1	239190	239772	+	583	43
PFLU_0214	OV986001.1	239821	240742	+	922	101
PFLU_0215	OV986001.1	240892	241675	+	784	623
PFLU_0216	OV986001.1	242102	242636	-	535	324
PFLU_0218	OV986001.1	242635	242929	-	295	183
PFLU_0219	OV986001.1	242916	243189	-	274	409
PFLU_0220	OV986001.1	243384	243951	+	568	137
PFLU_0222	OV986001.1	244142	244536	+	395	10
PFLU_0223	OV986001.1	244536	245125	+	590	66
PFLU_0225	OV986001.1	245909	246114	+	206	19
PFLU_0227	OV986001.1	246614	247280	+	667	44
PFLU_0228	OV986001.1	247260	247920	+	661	27
PFLU_0229	OV986001.1	247916	248693	+	778	111
PFLU_0230	OV986001.1	248689	249544	+	856	82
PFLU_0231	OV986001.1	249642	250803	-	1162	193
PFLU_0232	OV986001.1	251059	252142	+	1084	191
PFLU_0233	OV986001.1	252138	253209	+	1072	189
PFLU_0234	OV986001.1	253205	256271	+	3067	672
PFLU_0235	OV986001.1	256515	258693	+	2179	181
PFLU_0236	OV986001.1	258809	259436	-	628	197
PFLU_0237	OV986001.1	259476	260121	-	646	6
PFLU_0238	OV986001.1	260110	261226	-	1117	34
PFLU_0239	OV986001.1	261222	262038	-	817	14
PFLU_0240	OV986001.1	262119	263472	-	1354	35
PFLU_0241	OV986001.1	263471	264665	-	1195	28
PFLU_0242	OV986001.1	264689	265931	-	1243	66
PFLU_0243	OV986001.1	266118	266913	-	796	21
PFLU_0244	OV986001.1	267257	268004	-	748	983
PFLU_0245	OV986001.1	268007	268673	-	667	603
PFLU_0246	OV986001.1	268672	269467	-	796	1640
PFLU_0247	OV986001.1	269746	270742	-	997	485
PFLU_0248	OV986001.1	270878	271835	+	958	202
PFLU_0249	OV986001.1	272192	274193	+	2002	1247
PFLU_0250	OV986001.1	274371	275727	+	1357	52
PFLU_0251	OV986001.1	275835	276873	+	1039	2250
PFLU_0252	OV986001.1	276988	277825	-	838	56
PFLU_0253	OV986001.1	277836	278673	-	838	27
PFLU_0254	OV986001.1	278669	279449	-	781	20
PFLU_0255	OV986001.1	279466	280444	-	979	96
PFLU_0256	OV986001.1	280713	282297	-	1585	4547
PFLU_0257	OV986001.1	282511	282895	-	385	413
PFLU_0258	OV986001.1	282894	285219	-	2326	6978
PFLU_0259	OV986001.1	285576	286317	+	742	3434
PFLU_0260	OV986001.1	286433	287747	+	1315	2181
PFLU_0261	OV986001.1	287817	288723	-	907	619
PFLU_0262	OV986001.1	288719	289202	-	484	226
PFLU_0263	OV986001.1	289215	289995	-	781	424
PFLU_0264	OV986001.1	290111	290519	+	409	285
PFLU_0265	OV986001.1	290633	291437	-	805	2770
PFLU_0266	OV986001.1	291562	292465	+	904	2511
PFLU_0267	OV986001.1	292644	294186	+	1543	5786
PFLU_0268	OV986001.1	294198	294339	+	142	10
PFLU_0269	OV986001.1	294470	295172	-	703	193
PFLU_0270	OV986001.1	295459	296059	-	601	1056
PFLU_0271	OV986001.1	296058	296229	-	172	927
PFLU_0272	OV986001.1	296405	297581	+	1177	561
PFLU_0274	OV986001.1	297864	299808	+	1945	1198
PFLU_0275	OV986001.1	299936	300791	+	856	256
PFLU_0276	OV986001.1	300852	301284	+	433	220
PFLU_0277	OV986001.1	301506	301986	-	481	138
PFLU_0278	OV986001.1	302353	304702	-	2350	477
PFLU_0279	OV986001.1	304698	305538	-	841	197
PFLU_0280	OV986001.1	305635	306523	-	889	468
PFLU_0281	OV986001.1	306655	307096	+	442	422
PFLU_0282	OV986001.1	307141	307804	-	664	74
PFLU_0283	OV986001.1	307891	308458	+	568	187
PFLU_0284	OV986001.1	308454	309291	+	838	435
PFLU_0285	OV986001.1	309357	309813	-	457	385
PFLU_0286	OV986001.1	309839	311216	-	1378	394
PFLU_0287	OV986001.1	311212	313021	-	1810	516
PFLU_0288	OV986001.1	313057	313927	-	871	670
PFLU_0289	OV986001.1	313923	314469	-	547	1069
PFLU_0290	OV986001.1	314465	315341	-	877	2671
PFLU_0291	OV986001.1	315337	316420	-	1084	2534
PFLU_0292	OV986001.1	316571	319481	+	2911	1527
PFLU_0293	OV986001.1	319602	320709	+	1108	674
PFLU_0294	OV986001.1	320900	321158	+	259	59
PFLU_0295	OV986001.1	321222	323310	-	2089	109
PFLU_0296	OV986001.1	323721	325023	+	1303	18309
PFLU_0297	OV986001.1	325173	325566	+	394	34
PFLU_0299	OV986001.1	326111	326519	+	409	1071
PFLU_0300	OV986001.1	327255	328290	+	1036	3333
PFLU_0301	OV986001.1	328286	330506	+	2221	2599
PFLU_0302	OV986001.1	330502	332770	+	2269	5189
PFLU_0303	OV986001.1	332766	333963	+	1198	2591
PFLU_0304	OV986001.1	333944	337784	+	3841	9233
PFLU_0305	OV986001.1	337800	338466	+	667	2899
PFLU_0306	OV986001.1	338465	339131	+	667	1777
PFLU_0307	OV986001.1	339148	340564	+	1417	2017
PFLU_0308	OV986001.1	340576	341701	+	1126	1040
PFLU_0309	OV986001.1	341763	342813	+	1051	1189
PFLU_0310	OV986001.1	343054	344245	-	1192	460
PFLU_0311	OV986001.1	344222	344912	-	691	519
PFLU_0312	OV986001.1	344911	345604	-	694	406
PFLU_0313	OV986001.1	345678	346431	-	754	4305
PFLU_0314	OV986001.1	346444	347218	-	775	1969
PFLU_0315	OV986001.1	347772	349164	+	1393	1020
PFLU_0316	OV986001.1	349282	349696	-	415	138
PFLU_0317	OV986001.1	349699	350653	-	955	132
PFLU_0318	OV986001.1	350826	351792	+	967	179
PFLU_0319	OV986001.1	351879	353472	+	1594	287
PFLU_0320	OV986001.1	353561	353837	+	277	150
PFLU_0321	OV986001.1	353986	354544	+	559	346
PFLU_0322	OV986001.1	354809	355082	-	274	827
PFLU_0323	OV986001.1	355078	356146	-	1069	2245
PFLU_0324	OV986001.1	356142	358353	-	2212	3507
PFLU_0325	OV986001.1	358677	360339	+	1663	955
PFLU_0327	OV986001.1	360640	361234	+	595	1345
PFLU_0328	OV986001.1	361233	361872	+	640	1364
PFLU_0329	OV986001.1	361872	362130	+	259	494
PFLU_0330	OV986001.1	362169	362907	+	739	1723
PFLU_0331	OV986001.1	362916	363687	+	772	1333
PFLU_0332	OV986001.1	363753	364509	+	757	631
PFLU_0333	OV986001.1	364512	366105	-	1594	42
PFLU_0334	OV986001.1	366166	366955	-	790	205
PFLU_0335	OV986001.1	366956	368273	-	1318	3368
PFLU_0336	OV986001.1	368303	369599	-	1297	1564
PFLU_0337	OV986001.1	369796	371323	-	1528	5173
PFLU_0338	OV986001.1	371471	371888	+	418	465
PFLU_0339	OV986001.1	371889	372144	+	256	466
PFLU_0340	OV986001.1	372183	372663	+	481	3137
PFLU_0341	OV986001.1	372782	373238	-	457	222
PFLU_0342	OV986001.1	373236	373677	+	442	153
PFLU_0343	OV986001.1	374209	375646	-	1438	0
PFLU_0344	OV986001.1	375642	376728	-	1087	10
PFLU_0345	OV986001.1	377023	377449	-	427	151
PFLU_0346	OV986001.1	377526	378063	-	538	678
PFLU_0347	OV986001.1	378511	378748	+	238	27
PFLU_0348	OV986001.1	378824	380231	-	1408	14519
PFLU_0349	OV986001.1	380565	382020	+	1456	4617
PFLU_0350	OV986001.1	382159	383980	+	1822	15668
PFLU_0351	OV986001.1	384206	384641	-	436	21
PFLU_0352	OV986001.1	384880	387331	+	2452	2494
PFLU_0353	OV986001.1	387490	391015	+	3526	905
PFLU_0354	OV986001.1	391011	392367	+	1357	607
PFLU_0355	OV986001.1	392475	393486	+	1012	1630
PFLU_0356	OV986001.1	393662	393917	+	256	187
PFLU_0357	OV986001.1	393947	394517	+	571	449
PFLU_0358	OV986001.1	394646	396011	-	1366	614
PFLU_0359	OV986001.1	396119	396869	+	751	463
PFLU_0360	OV986001.1	396865	397426	+	562	196
PFLU_0361	OV986001.1	397832	399503	+	1672	303
PFLU_0362	OV986001.1	399581	401027	+	1447	120
PFLU_0363	OV986001.1	401096	402062	+	967	138
PFLU_0364	OV986001.1	402133	402985	+	853	151
PFLU_0365	OV986001.1	402981	403806	+	826	283
PFLU_0366	OV986001.1	403943	405458	+	1516	409
PFLU_0367	OV986001.1	405504	407043	+	1540	605
PFLU_0368	OV986001.1	407244	408654	+	1411	179
PFLU_0369	OV986001.1	408666	409875	+	1210	267
PFLU_0370	OV986001.1	409887	410688	+	802	410
PFLU_0371	OV986001.1	411002	411974	+	973	1501
PFLU_0372	OV986001.1	411970	412408	+	439	590
PFLU_0373	OV986001.1	412735	414412	+	1678	5387
PFLU_0374	OV986001.1	414404	416975	+	2572	5346
PFLU_0375	OV986001.1	417160	417961	+	802	36
PFLU_0376	OV986001.1	418175	418979	+	805	2058
PFLU_0377	OV986001.1	419016	419976	+	961	1216
PFLU_0378	OV986001.1	419968	420703	+	736	928
PFLU_0379	OV986001.1	420896	422804	-	1909	37
PFLU_0380	OV986001.1	422931	424848	-	1918	52
PFLU_0381	OV986001.1	424955	425663	-	709	419
PFLU_0382	OV986001.1	425659	426451	-	793	1560
PFLU_0383	OV986001.1	426447	426852	-	406	603
PFLU_0384	OV986001.1	426862	427141	-	280	1101
PFLU_0385	OV986001.1	427166	427499	-	334	941
PFLU_0386	OV986001.1	427501	427894	-	394	493
PFLU_0387	OV986001.1	427935	429540	-	1606	3827
PFLU_0388	OV986001.1	429536	430160	-	625	802
PFLU_0389	OV986001.1	430159	430930	-	772	2016
PFLU_0390	OV986001.1	431074	431350	+	277	288
PFLU_0391	OV986001.1	431455	431878	+	424	1123
PFLU_0392	OV986001.1	431890	432838	+	949	8365
PFLU_0393	OV986001.1	432886	433510	-	625	421
PFLU_0394	OV986001.1	433537	435220	-	1684	1282
PFLU_0395	OV986001.1	435308	436154	-	847	778
PFLU_0396	OV986001.1	436299	437979	-	1681	2677
PFLU_0397	OV986001.1	438228	438606	-	379	486
PFLU_0398	OV986001.1	438754	440092	-	1339	10266
PFLU_0399	OV986001.1	440129	440660	-	532	4745
PFLU_0400	OV986001.1	440917	441619	-	703	1294
PFLU_0401	OV986001.1	441620	443357	-	1738	4179
PFLU_0402	OV986001.1	443576	445796	-	2221	683
PFLU_0403	OV986001.1	446022	446256	+	235	2116
PFLU_0404	OV986001.1	446288	447077	+	790	531
PFLU_0405	OV986001.1	447258	448527	+	1270	6833
PFLU_0406	OV986001.1	448741	451204	-	2464	2442
PFLU_0407	OV986001.1	451421	452075	+	655	86
PFLU_0408	OV986001.1	452071	452626	+	556	428
PFLU_0409	OV986001.1	452622	453588	+	967	81
PFLU_0410	OV986001.1	453723	454983	+	1261	145
PFLU_0411	OV986001.1	454987	455506	+	520	941
PFLU_0412	OV986001.1	455631	456732	+	1102	4120
PFLU_0413	OV986001.1	456741	458295	+	1555	3676
PFLU_0414	OV986001.1	458646	463092	+	4447	6124
PFLU_0415	OV986001.1	463124	464543	+	1420	908
PFLU_0416	OV986001.1	464786	465854	+	1069	1349
PFLU_0417	OV986001.1	465974	467249	-	1276	277
PFLU_0418	OV986001.1	467373	468267	+	895	109
PFLU_0419	OV986001.1	468439	468883	-	445	829
PFLU_0420	OV986001.1	468909	470136	-	1228	1128
PFLU_0421	OV986001.1	470135	470864	-	730	417
PFLU_0422	OV986001.1	470860	471322	-	463	207
PFLU_0423	OV986001.1	471318	472485	-	1168	654
PFLU_0424	OV986001.1	472481	472964	-	484	110
PFLU_0425	OV986001.1	472960	473710	-	751	534
PFLU_0426	OV986001.1	473706	474954	-	1249	651
PFLU_0427	OV986001.1	474987	477300	-	2314	587
PFLU_0428	OV986001.1	477289	477862	-	574	360
PFLU_0429	OV986001.1	477987	478413	-	427	343
PFLU_0430	OV986001.1	478405	479947	-	1543	656
PFLU_0431	OV986001.1	479930	481597	-	1668	513
PFLU_0433	OV986001.1	481746	483417	-	1672	474
PFLU_0434	OV986001.1	483413	483959	-	547	174
PFLU_0435	OV986001.1	483955	484210	-	256	129
PFLU_0436	OV986001.1	484219	484489	-	271	351
PFLU_0437	OV986001.1	484466	485279	-	814	427
PFLU_0438	OV986001.1	485254	485974	-	721	242
PFLU_0439	OV986001.1	486322	487093	+	772	2950
PFLU_0440	OV986001.1	487489	487711	+	223	209
PFLU_0441	OV986001.1	487758	488193	-	436	1409
PFLU_0442	OV986001.1	488429	488726	+	298	370
PFLU_0443	OV986001.1	488722	489124	+	403	743
PFLU_0444	OV986001.1	489128	490592	-	1465	153
PFLU_0445	OV986001.1	490640	494024	-	3385	3307
PFLU_0446	OV986001.1	494074	495817	-	1744	1406
PFLU_0447	OV986001.1	496151	497777	-	1627	23
PFLU_0448	OV986001.1	498054	498285	+	232	50
PFLU_0449	OV986001.1	498281	498575	+	295	73
PFLU_0450	OV986001.1	498571	500374	-	1804	636
PFLU_0451	OV986001.1	500578	504532	-	3955	14137
PFLU_0452	OV986001.1	504992	506477	+	1486	1544
PFLU_0453	OV986001.1	506681	508706	+	2026	88
PFLU_0454	OV986001.1	508715	509405	+	691	37
PFLU_0455	OV986001.1	509390	510668	-	1279	321
PFLU_0456	OV986001.1	510841	511678	+	838	530
PFLU_0457	OV986001.1	511838	512486	-	649	802
PFLU_0458	OV986001.1	512559	515244	-	2686	1998
PFLU_0459	OV986001.1	515559	517209	-	1651	25450
PFLU_0460	OV986001.1	517220	519866	-	2647	69933
PFLU_0461	OV986001.1	520249	523189	+	2941	2717
PFLU_0462	OV986001.1	523243	524278	+	1036	804
PFLU_0463	OV986001.1	524279	525341	+	1063	907
PFLU_0464	OV986001.1	525340	526465	+	1126	1693
PFLU_0465	OV986001.1	526461	527268	+	808	897
PFLU_0466	OV986001.1	527267	528002	+	736	763
PFLU_0467	OV986001.1	527998	528751	+	754	588
PFLU_0468	OV986001.1	528750	530202	+	1453	2002
PFLU_0469	OV986001.1	530588	531569	+	982	1860
PFLU_0470	OV986001.1	531568	531736	+	169	261
PFLU_0471	OV986001.1	531878	532805	+	928	320
PFLU_0472	OV986001.1	532811	534200	-	1390	424
PFLU_0473	OV986001.1	534275	536381	-	2107	414
PFLU_0474	OV986001.1	536553	536931	+	379	51
PFLU_0475	OV986001.1	537073	538831	+	1759	6825
PFLU_0476	OV986001.1	538831	539728	+	898	1244
PFLU_0477	OV986001.1	539697	541125	+	1429	2082
PFLU_0478	OV986001.1	541184	542333	+	1150	1612
PFLU_0479	OV986001.1	542329	543211	+	883	2063
PFLU_0480	OV986001.1	543265	545221	-	1957	1808
PFLU_0481	OV986001.1	545287	547093	+	1807	2420
PFLU_0482	OV986001.1	547362	548787	+	1426	1845
PFLU_0483	OV986001.1	548779	549706	+	928	1865
PFLU_0485	OV986001.1	550480	551440	-	961	599
PFLU_0486	OV986001.1	551481	552294	-	814	1106
PFLU_0487	OV986001.1	552290	553466	-	1177	407
PFLU_0488	OV986001.1	553521	553857	-	337	35
PFLU_0489	OV986001.1	553959	554850	+	892	61
PFLU_0490	OV986001.1	554873	556151	+	1279	528
PFLU_0491	OV986001.1	556273	557713	-	1441	1418
PFLU_0492	OV986001.1	558161	560066	+	1906	286
PFLU_0493	OV986001.1	560228	561518	+	1291	55
PFLU_0494	OV986001.1	561486	562233	-	748	853
PFLU_0495	OV986001.1	562426	563044	+	619	447
PFLU_0496	OV986001.1	563034	563484	+	451	598
PFLU_0497	OV986001.1	563600	564398	+	799	685
PFLU_0498	OV986001.1	564604	565213	+	610	539
PFLU_0499	OV986001.1	565258	567163	+	1906	5512
PFLU_0500	OV986001.1	567162	568158	+	997	1280
PFLU_0501	OV986001.1	568231	570496	+	2266	8685
PFLU_0502	OV986001.1	570669	571383	+	715	1053
