# Program:featureCounts v2.0.6; Command:"featureCounts" "-Q" "20" "-s" "2" "-p" "-a" "/storage/projects/QUO1015788/ref/REF_cds.gtf" "-T" "5" "-F" "SAF" "-o" "/storage/projects/QUO1015788/2630_6/2630_6_cds" "/storage/projects/QUO1015788/2630_6/2630_6.sam" 
Geneid	Chr	Start	End	Strand	Length	/storage/projects/QUO1015788/2630_6/2630_6.sam
PFLU_0050	OV986001.1	49599	50265	-	667	18
PFLU_0051	OV986001.1	50529	51282	+	754	436
PFLU_0052	OV986001.1	51284	53069	+	1786	1277
PFLU_0053	OV986001.1	53075	54380	+	1306	809
PFLU_0054	OV986001.1	54461	55520	+	1060	84
PFLU_0055	OV986001.1	55771	56479	+	709	1915
PFLU_0056	OV986001.1	56564	58112	+	1549	283
PFLU_0057	OV986001.1	58180	58828	-	649	527
PFLU_0058	OV986001.1	59196	60324	+	1129	404
PFLU_0059	OV986001.1	60382	61969	+	1588	200
PFLU_0060	OV986001.1	62107	62668	+	562	69
PFLU_0061	OV986001.1	62703	63591	+	889	59
PFLU_0062	OV986001.1	63597	63801	-	205	47
PFLU_0063	OV986001.1	63829	64594	+	766	27
PFLU_0064	OV986001.1	64559	65144	+	586	8
PFLU_0065	OV986001.1	65154	66234	+	1081	44
PFLU_0066	OV986001.1	66221	67121	+	901	52
PFLU_0067	OV986001.1	67117	67753	+	637	408
PFLU_0068	OV986001.1	67896	68667	-	772	2885
PFLU_0069	OV986001.1	68717	69392	-	676	528
PFLU_0070	OV986001.1	69391	70399	-	1009	547
PFLU_0071	OV986001.1	70664	72806	+	2143	1886
PFLU_0072	OV986001.1	72871	73591	-	721	565
PFLU_0073	OV986001.1	73628	74417	-	790	133
PFLU_0074	OV986001.1	74409	75195	-	787	523
PFLU_0075	OV986001.1	75194	75677	-	484	85
PFLU_0076	OV986001.1	75735	76665	+	931	338
PFLU_0077	OV986001.1	76789	77743	-	955	1121
PFLU_0078	OV986001.1	77799	78090	-	292	350
PFLU_0079	OV986001.1	78152	80942	+	2791	3983
PFLU_0080	OV986001.1	81212	81854	-	643	847
PFLU_0081	OV986001.1	82046	82349	+	304	2820
PFLU_0082	OV986001.1	82383	83010	+	628	4496
PFLU_0083	OV986001.1	83178	83814	+	637	2371
PFLU_0084	OV986001.1	83824	84703	+	880	2603
PFLU_0085	OV986001.1	84699	86754	+	2056	1395
PFLU_0086	OV986001.1	86842	87655	+	814	329
PFLU_0087	OV986001.1	87714	89502	-	1789	873
PFLU_0088	OV986001.1	89512	90859	-	1348	1746
PFLU_0089	OV986001.1	91238	91523	+	286	1004
PFLU_0090	OV986001.1	91601	91766	+	166	417
PFLU_0091	OV986001.1	91768	92236	+	469	904
PFLU_0093	OV986001.1	93000	94332	+	1333	1409
PFLU_0094	OV986001.1	94430	95660	+	1231	234
PFLU_0095	OV986001.1	95752	96364	-	613	376
PFLU_0096	OV986001.1	96360	97299	-	940	493
PFLU_0097	OV986001.1	97300	98104	-	805	107
PFLU_0098	OV986001.1	98100	99249	-	1150	250
PFLU_0099	OV986001.1	99302	100334	-	1033	260
PFLU_0100	OV986001.1	100406	101789	-	1384	596
PFLU_0101	OV986001.1	101846	103505	-	1660	947
PFLU_0102	OV986001.1	103908	104676	-	769	424
PFLU_0103	OV986001.1	104744	106052	-	1309	167
PFLU_0104	OV986001.1	106429	108391	-	1963	848
PFLU_0105	OV986001.1	108387	108708	-	322	521
PFLU_0106	OV986001.1	108746	109055	-	310	222
PFLU_0107	OV986001.1	109158	109479	-	322	195
PFLU_0108	OV986001.1	109615	109801	-	187	62
PFLU_0109	OV986001.1	110064	110280	-	217	813
PFLU_0110	OV986001.1	110598	112092	-	1495	2232
PFLU_0111	OV986001.1	112271	113708	-	1438	563
PFLU_0112	OV986001.1	113707	114028	-	322	126
PFLU_0113	OV986001.1	114043	115165	-	1123	1106
PFLU_0114	OV986001.1	115617	116517	-	901	149
PFLU_0115	OV986001.1	116675	117857	+	1183	381
PFLU_0116	OV986001.1	117869	119090	+	1222	256
PFLU_0117	OV986001.1	125625	127506	+	1882	103
PFLU_0118	OV986001.1	127545	128004	-	460	17
PFLU_0119	OV986001.1	128023	131395	-	3373	149
PFLU_0120	OV986001.1	131391	132339	-	949	48
PFLU_0121	OV986001.1	132325	133093	-	769	28
PFLU_0122	OV986001.1	133465	134164	-	700	119
PFLU_0123	OV986001.1	134475	135369	+	895	43
PFLU_0124	OV986001.1	135377	136409	+	1033	21
PFLU_0125	OV986001.1	136410	137262	+	853	42
PFLU_0126	OV986001.1	137273	138122	+	850	12
PFLU_0127	OV986001.1	138221	138848	+	628	89
PFLU_0128	OV986001.1	138900	139821	+	922	98
PFLU_0129	OV986001.1	140045	141581	+	1537	19
PFLU_0130	OV986001.1	141596	142655	+	1060	33
PFLU_0131	OV986001.1	142651	144097	+	1447	25
PFLU_0132	OV986001.1	144122	144827	-	706	131
PFLU_0133	OV986001.1	144823	146992	-	2170	989
PFLU_0134	OV986001.1	147171	148776	+	1606	383
PFLU_0135	OV986001.1	148809	149064	+	256	35
PFLU_0136	OV986001.1	149413	149851	+	439	76
PFLU_0137	OV986001.1	149847	151926	+	2080	172
PFLU_0138	OV986001.1	151922	152132	+	211	31
PFLU_0139	OV986001.1	152128	153019	+	892	122
PFLU_0140	OV986001.1	153015	154458	+	1444	182
PFLU_0141	OV986001.1	154518	155172	+	655	48
PFLU_0142	OV986001.1	155318	156815	+	1498	1492
PFLU_0143	OV986001.1	157115	159596	+	2482	381
PFLU_0144	OV986001.1	159608	161606	+	1999	189
PFLU_0145	OV986001.1	161608	162949	+	1342	176
PFLU_0146	OV986001.1	162945	163434	+	490	46
PFLU_0147	OV986001.1	163810	165535	+	1726	526
PFLU_0148	OV986001.1	165559	173761	+	8203	2113
PFLU_0148A	OV986001.1	174227	174917	+	691	245
PFLU_0149	OV986001.1	175182	176001	+	820	250
PFLU_0150	OV986001.1	176426	176825	+	400	87
PFLU_0151	OV986001.1	176824	176959	+	136	2
PFLU_0152	OV986001.1	176984	177434	+	451	206
PFLU_0153	OV986001.1	177524	178028	+	505	136
PFLU_0154	OV986001.1	178328	178856	+	529	158
PFLU_0155	OV986001.1	178852	179269	+	418	101
PFLU_0156	OV986001.1	179301	179775	+	475	233
PFLU_0157	OV986001.1	179782	180073	+	292	67
PFLU_0158	OV986001.1	180103	180217	+	115	40
PFLU_0159	OV986001.1	180318	180906	-	589	11
PFLU_0160	OV986001.1	180922	181534	-	613	6
PFLU_0161	OV986001.1	181805	182387	+	583	417
PFLU_0162	OV986001.1	182426	183107	+	682	1336
PFLU_0163	OV986001.1	183136	183499	+	364	473
PFLU_0164	OV986001.1	183495	184146	+	652	756
PFLU_0165	OV986001.1	184234	185890	+	1657	259
PFLU_0166	OV986001.1	186028	186601	+	574	254
PFLU_0167	OV986001.1	186597	187191	+	595	199
PFLU_0170	OV986001.1	189178	190405	+	1228	719
PFLU_0171	OV986001.1	190401	192234	+	1834	858
PFLU_0172	OV986001.1	192867	195042	+	2176	843
PFLU_0173	OV986001.1	195684	196527	-	844	574
PFLU_0174	OV986001.1	196625	199514	-	2890	428
PFLU_0175	OV986001.1	199510	199783	-	274	12
PFLU_0176	OV986001.1	199779	200064	-	286	4
PFLU_0177	OV986001.1	200060	200546	-	487	129
PFLU_0178	OV986001.1	200593	200941	-	349	64
PFLU_0179	OV986001.1	201768	203004	-	1237	545
PFLU_0180	OV986001.1	203618	205061	+	1444	3400
PFLU_0181	OV986001.1	205246	206524	+	1279	4425
PFLU_0182	OV986001.1	206663	207872	+	1210	137
PFLU_0183	OV986001.1	207934	208942	-	1009	250
PFLU_0184	OV986001.1	209124	210309	-	1186	2955
PFLU_0185	OV986001.1	210397	212386	+	1990	1012
PFLU_0186	OV986001.1	212687	212870	+	184	33
PFLU_0187	OV986001.1	212944	213955	+	1012	104
PFLU_0188	OV986001.1	214198	215017	+	820	203
PFLU_0189	OV986001.1	215030	215903	+	874	246
PFLU_0190	OV986001.1	215906	216887	+	982	622
PFLU_0191	OV986001.1	216953	217481	-	529	66
PFLU_0192	OV986001.1	217564	218251	+	688	231
PFLU_0193	OV986001.1	218245	218656	-	412	31
PFLU_0194	OV986001.1	218682	219156	-	475	0
PFLU_0195	OV986001.1	219256	219622	+	367	48
PFLU_0196	OV986001.1	219749	220754	-	1006	256
PFLU_0197	OV986001.1	220855	221935	+	1081	33
PFLU_0198	OV986001.1	221906	223517	-	1612	126
PFLU_0199	OV986001.1	223533	224349	-	817	9
PFLU_0200	OV986001.1	224345	225938	-	1594	14
PFLU_0201	OV986001.1	226226	227228	+	1003	1
PFLU_0202	OV986001.1	227281	228202	-	922	24
PFLU_0203	OV986001.1	228381	229287	+	907	31
PFLU_0204	OV986001.1	229387	230995	-	1609	51
PFLU_0205	OV986001.1	231095	232040	-	946	24
PFLU_0206	OV986001.1	232195	234511	+	2317	33
PFLU_0207	OV986001.1	234481	235669	-	1189	34
PFLU_0208	OV986001.1	235777	236644	+	868	80
PFLU_0209	OV986001.1	236868	237684	+	817	10
PFLU_0210	OV986001.1	237738	238458	+	721	19
PFLU_0211	OV986001.1	238459	238861	+	403	60
PFLU_0213	OV986001.1	239190	239772	+	583	65
PFLU_0214	OV986001.1	239821	240742	+	922	77
PFLU_0215	OV986001.1	240892	241675	+	784	486
PFLU_0216	OV986001.1	242102	242636	-	535	179
PFLU_0218	OV986001.1	242635	242929	-	295	72
PFLU_0219	OV986001.1	242916	243189	-	274	239
PFLU_0220	OV986001.1	243384	243951	+	568	68
PFLU_0222	OV986001.1	244142	244536	+	395	4
PFLU_0223	OV986001.1	244536	245125	+	590	34
PFLU_0225	OV986001.1	245909	246114	+	206	4
PFLU_0227	OV986001.1	246614	247280	+	667	52
PFLU_0228	OV986001.1	247260	247920	+	661	27
PFLU_0229	OV986001.1	247916	248693	+	778	87
PFLU_0230	OV986001.1	248689	249544	+	856	70
PFLU_0231	OV986001.1	249642	250803	-	1162	142
PFLU_0232	OV986001.1	251059	252142	+	1084	127
PFLU_0233	OV986001.1	252138	253209	+	1072	152
PFLU_0234	OV986001.1	253205	256271	+	3067	536
PFLU_0235	OV986001.1	256515	258693	+	2179	102
PFLU_0236	OV986001.1	258809	259436	-	628	73
PFLU_0237	OV986001.1	259476	260121	-	646	10
PFLU_0238	OV986001.1	260110	261226	-	1117	38
PFLU_0239	OV986001.1	261222	262038	-	817	15
PFLU_0240	OV986001.1	262119	263472	-	1354	23
PFLU_0241	OV986001.1	263471	264665	-	1195	29
PFLU_0242	OV986001.1	264689	265931	-	1243	34
PFLU_0243	OV986001.1	266118	266913	-	796	16
PFLU_0244	OV986001.1	267257	268004	-	748	890
PFLU_0245	OV986001.1	268007	268673	-	667	533
PFLU_0246	OV986001.1	268672	269467	-	796	1377
PFLU_0247	OV986001.1	269746	270742	-	997	393
PFLU_0248	OV986001.1	270878	271835	+	958	139
PFLU_0249	OV986001.1	272192	274193	+	2002	823
PFLU_0250	OV986001.1	274371	275727	+	1357	16
PFLU_0251	OV986001.1	275835	276873	+	1039	2437
PFLU_0252	OV986001.1	276988	277825	-	838	30
PFLU_0253	OV986001.1	277836	278673	-	838	12
PFLU_0254	OV986001.1	278669	279449	-	781	25
PFLU_0255	OV986001.1	279466	280444	-	979	36
PFLU_0256	OV986001.1	280713	282297	-	1585	2870
PFLU_0257	OV986001.1	282511	282895	-	385	350
PFLU_0258	OV986001.1	282894	285219	-	2326	6116
PFLU_0259	OV986001.1	285576	286317	+	742	3004
PFLU_0260	OV986001.1	286433	287747	+	1315	1550
PFLU_0261	OV986001.1	287817	288723	-	907	411
PFLU_0262	OV986001.1	288719	289202	-	484	177
PFLU_0263	OV986001.1	289215	289995	-	781	228
PFLU_0264	OV986001.1	290111	290519	+	409	182
PFLU_0265	OV986001.1	290633	291437	-	805	2399
PFLU_0266	OV986001.1	291562	292465	+	904	1994
PFLU_0267	OV986001.1	292644	294186	+	1543	5671
PFLU_0268	OV986001.1	294198	294339	+	142	2
PFLU_0269	OV986001.1	294470	295172	-	703	107
PFLU_0270	OV986001.1	295459	296059	-	601	920
PFLU_0271	OV986001.1	296058	296229	-	172	1018
PFLU_0272	OV986001.1	296405	297581	+	1177	493
PFLU_0274	OV986001.1	297864	299808	+	1945	630
PFLU_0275	OV986001.1	299936	300791	+	856	155
PFLU_0276	OV986001.1	300852	301284	+	433	191
PFLU_0277	OV986001.1	301506	301986	-	481	235
PFLU_0278	OV986001.1	302353	304702	-	2350	418
PFLU_0279	OV986001.1	304698	305538	-	841	159
PFLU_0280	OV986001.1	305635	306523	-	889	556
PFLU_0281	OV986001.1	306655	307096	+	442	266
PFLU_0282	OV986001.1	307141	307804	-	664	39
PFLU_0283	OV986001.1	307891	308458	+	568	61
PFLU_0284	OV986001.1	308454	309291	+	838	237
PFLU_0285	OV986001.1	309357	309813	-	457	322
PFLU_0286	OV986001.1	309839	311216	-	1378	464
PFLU_0287	OV986001.1	311212	313021	-	1810	385
PFLU_0288	OV986001.1	313057	313927	-	871	552
PFLU_0289	OV986001.1	313923	314469	-	547	658
PFLU_0290	OV986001.1	314465	315341	-	877	2058
PFLU_0291	OV986001.1	315337	316420	-	1084	1788
PFLU_0292	OV986001.1	316571	319481	+	2911	1236
PFLU_0293	OV986001.1	319602	320709	+	1108	505
PFLU_0294	OV986001.1	320900	321158	+	259	3
PFLU_0295	OV986001.1	321222	323310	-	2089	86
PFLU_0296	OV986001.1	323721	325023	+	1303	15809
PFLU_0297	OV986001.1	325173	325566	+	394	16
PFLU_0299	OV986001.1	326111	326519	+	409	539
PFLU_0300	OV986001.1	327255	328290	+	1036	2609
PFLU_0301	OV986001.1	328286	330506	+	2221	2053
PFLU_0302	OV986001.1	330502	332770	+	2269	4146
PFLU_0303	OV986001.1	332766	333963	+	1198	1977
PFLU_0304	OV986001.1	333944	337784	+	3841	7921
PFLU_0305	OV986001.1	337800	338466	+	667	2586
PFLU_0306	OV986001.1	338465	339131	+	667	1352
PFLU_0307	OV986001.1	339148	340564	+	1417	1574
PFLU_0308	OV986001.1	340576	341701	+	1126	882
PFLU_0309	OV986001.1	341763	342813	+	1051	725
PFLU_0310	OV986001.1	343054	344245	-	1192	252
PFLU_0311	OV986001.1	344222	344912	-	691	356
PFLU_0312	OV986001.1	344911	345604	-	694	255
PFLU_0313	OV986001.1	345678	346431	-	754	2939
PFLU_0314	OV986001.1	346444	347218	-	775	1234
PFLU_0315	OV986001.1	347772	349164	+	1393	688
PFLU_0316	OV986001.1	349282	349696	-	415	64
PFLU_0317	OV986001.1	349699	350653	-	955	98
PFLU_0318	OV986001.1	350826	351792	+	967	86
PFLU_0319	OV986001.1	351879	353472	+	1594	195
PFLU_0320	OV986001.1	353561	353837	+	277	91
PFLU_0321	OV986001.1	353986	354544	+	559	212
PFLU_0322	OV986001.1	354809	355082	-	274	762
PFLU_0323	OV986001.1	355078	356146	-	1069	1379
PFLU_0324	OV986001.1	356142	358353	-	2212	3206
PFLU_0325	OV986001.1	358677	360339	+	1663	714
PFLU_0327	OV986001.1	360640	361234	+	595	1604
PFLU_0328	OV986001.1	361233	361872	+	640	1065
PFLU_0329	OV986001.1	361872	362130	+	259	297
PFLU_0330	OV986001.1	362169	362907	+	739	1174
PFLU_0331	OV986001.1	362916	363687	+	772	942
PFLU_0332	OV986001.1	363753	364509	+	757	440
PFLU_0333	OV986001.1	364512	366105	-	1594	24
PFLU_0334	OV986001.1	366166	366955	-	790	118
PFLU_0335	OV986001.1	366956	368273	-	1318	2460
PFLU_0336	OV986001.1	368303	369599	-	1297	947
PFLU_0337	OV986001.1	369796	371323	-	1528	4367
PFLU_0338	OV986001.1	371471	371888	+	418	312
PFLU_0339	OV986001.1	371889	372144	+	256	301
PFLU_0340	OV986001.1	372183	372663	+	481	2615
PFLU_0341	OV986001.1	372782	373238	-	457	184
PFLU_0342	OV986001.1	373236	373677	+	442	111
PFLU_0343	OV986001.1	374209	375646	-	1438	0
PFLU_0344	OV986001.1	375642	376728	-	1087	5
PFLU_0345	OV986001.1	377023	377449	-	427	77
PFLU_0346	OV986001.1	377526	378063	-	538	380
PFLU_0347	OV986001.1	378511	378748	+	238	33
PFLU_0348	OV986001.1	378824	380231	-	1408	9135
PFLU_0349	OV986001.1	380565	382020	+	1456	3332
PFLU_0350	OV986001.1	382159	383980	+	1822	11309
PFLU_0351	OV986001.1	384206	384641	-	436	10
PFLU_0352	OV986001.1	384880	387331	+	2452	1378
PFLU_0353	OV986001.1	387490	391015	+	3526	666
PFLU_0354	OV986001.1	391011	392367	+	1357	4173
PFLU_0355	OV986001.1	392475	393486	+	1012	1369
PFLU_0356	OV986001.1	393662	393917	+	256	115
PFLU_0357	OV986001.1	393947	394517	+	571	287
PFLU_0358	OV986001.1	394646	396011	-	1366	450
PFLU_0359	OV986001.1	396119	396869	+	751	262
PFLU_0360	OV986001.1	396865	397426	+	562	122
PFLU_0361	OV986001.1	397832	399503	+	1672	186
PFLU_0362	OV986001.1	399581	401027	+	1447	85
PFLU_0363	OV986001.1	401096	402062	+	967	65
PFLU_0364	OV986001.1	402133	402985	+	853	86
PFLU_0365	OV986001.1	402981	403806	+	826	214
PFLU_0366	OV986001.1	403943	405458	+	1516	277
PFLU_0367	OV986001.1	405504	407043	+	1540	402
PFLU_0368	OV986001.1	407244	408654	+	1411	149
PFLU_0369	OV986001.1	408666	409875	+	1210	229
PFLU_0370	OV986001.1	409887	410688	+	802	398
PFLU_0371	OV986001.1	411002	411974	+	973	1216
PFLU_0372	OV986001.1	411970	412408	+	439	308
PFLU_0373	OV986001.1	412735	414412	+	1678	4279
PFLU_0374	OV986001.1	414404	416975	+	2572	4244
PFLU_0375	OV986001.1	417160	417961	+	802	44
PFLU_0376	OV986001.1	418175	418979	+	805	1754
PFLU_0377	OV986001.1	419016	419976	+	961	1068
PFLU_0378	OV986001.1	419968	420703	+	736	534
PFLU_0379	OV986001.1	420896	422804	-	1909	26
PFLU_0380	OV986001.1	422931	424848	-	1918	26
PFLU_0381	OV986001.1	424955	425663	-	709	379
PFLU_0382	OV986001.1	425659	426451	-	793	1209
PFLU_0383	OV986001.1	426447	426852	-	406	587
PFLU_0384	OV986001.1	426862	427141	-	280	843
PFLU_0385	OV986001.1	427166	427499	-	334	855
PFLU_0386	OV986001.1	427501	427894	-	394	338
PFLU_0387	OV986001.1	427935	429540	-	1606	3219
PFLU_0388	OV986001.1	429536	430160	-	625	591
PFLU_0389	OV986001.1	430159	430930	-	772	1311
PFLU_0390	OV986001.1	431074	431350	+	277	204
PFLU_0391	OV986001.1	431455	431878	+	424	1144
PFLU_0392	OV986001.1	431890	432838	+	949	9653
PFLU_0393	OV986001.1	432886	433510	-	625	387
PFLU_0394	OV986001.1	433537	435220	-	1684	1124
PFLU_0395	OV986001.1	435308	436154	-	847	361
PFLU_0396	OV986001.1	436299	437979	-	1681	1626
PFLU_0397	OV986001.1	438228	438606	-	379	210
PFLU_0398	OV986001.1	438754	440092	-	1339	5459
PFLU_0399	OV986001.1	440129	440660	-	532	2561
PFLU_0400	OV986001.1	440917	441619	-	703	828
PFLU_0401	OV986001.1	441620	443357	-	1738	3287
PFLU_0402	OV986001.1	443576	445796	-	2221	478
PFLU_0403	OV986001.1	446022	446256	+	235	2120
PFLU_0404	OV986001.1	446288	447077	+	790	415
PFLU_0405	OV986001.1	447258	448527	+	1270	5739
PFLU_0406	OV986001.1	448741	451204	-	2464	1967
PFLU_0407	OV986001.1	451421	452075	+	655	45
PFLU_0408	OV986001.1	452071	452626	+	556	437
PFLU_0409	OV986001.1	452622	453588	+	967	41
PFLU_0410	OV986001.1	453723	454983	+	1261	61
PFLU_0411	OV986001.1	454987	455506	+	520	658
PFLU_0412	OV986001.1	455631	456732	+	1102	2931
PFLU_0413	OV986001.1	456741	458295	+	1555	3826
PFLU_0414	OV986001.1	458646	463092	+	4447	5280
PFLU_0415	OV986001.1	463124	464543	+	1420	723
PFLU_0416	OV986001.1	464786	465854	+	1069	1620
PFLU_0417	OV986001.1	465974	467249	-	1276	170
PFLU_0418	OV986001.1	467373	468267	+	895	64
PFLU_0419	OV986001.1	468439	468883	-	445	487
PFLU_0420	OV986001.1	468909	470136	-	1228	932
PFLU_0421	OV986001.1	470135	470864	-	730	210
PFLU_0422	OV986001.1	470860	471322	-	463	144
PFLU_0423	OV986001.1	471318	472485	-	1168	616
PFLU_0424	OV986001.1	472481	472964	-	484	67
PFLU_0425	OV986001.1	472960	473710	-	751	284
PFLU_0426	OV986001.1	473706	474954	-	1249	349
PFLU_0427	OV986001.1	474987	477300	-	2314	454
PFLU_0428	OV986001.1	477289	477862	-	574	202
PFLU_0429	OV986001.1	477987	478413	-	427	262
PFLU_0430	OV986001.1	478405	479947	-	1543	552
PFLU_0431	OV986001.1	479930	481597	-	1668	420
PFLU_0433	OV986001.1	481746	483417	-	1672	450
PFLU_0434	OV986001.1	483413	483959	-	547	143
PFLU_0435	OV986001.1	483955	484210	-	256	66
PFLU_0436	OV986001.1	484219	484489	-	271	434
PFLU_0437	OV986001.1	484466	485279	-	814	295
PFLU_0438	OV986001.1	485254	485974	-	721	166
PFLU_0439	OV986001.1	486322	487093	+	772	2842
PFLU_0440	OV986001.1	487489	487711	+	223	221
PFLU_0441	OV986001.1	487758	488193	-	436	673
PFLU_0442	OV986001.1	488429	488726	+	298	145
PFLU_0443	OV986001.1	488722	489124	+	403	498
PFLU_0444	OV986001.1	489128	490592	-	1465	134
PFLU_0445	OV986001.1	490640	494024	-	3385	2312
PFLU_0446	OV986001.1	494074	495817	-	1744	1778
PFLU_0447	OV986001.1	496151	497777	-	1627	14
PFLU_0448	OV986001.1	498054	498285	+	232	11
PFLU_0449	OV986001.1	498281	498575	+	295	42
PFLU_0450	OV986001.1	498571	500374	-	1804	481
PFLU_0451	OV986001.1	500578	504532	-	3955	11522
PFLU_0452	OV986001.1	504992	506477	+	1486	1470
PFLU_0453	OV986001.1	506681	508706	+	2026	63
PFLU_0454	OV986001.1	508715	509405	+	691	16
PFLU_0455	OV986001.1	509390	510668	-	1279	303
PFLU_0456	OV986001.1	510841	511678	+	838	377
PFLU_0457	OV986001.1	511838	512486	-	649	565
PFLU_0458	OV986001.1	512559	515244	-	2686	1526
PFLU_0459	OV986001.1	515559	517209	-	1651	24745
PFLU_0460	OV986001.1	517220	519866	-	2647	68166
PFLU_0461	OV986001.1	520249	523189	+	2941	2114
PFLU_0462	OV986001.1	523243	524278	+	1036	648
PFLU_0463	OV986001.1	524279	525341	+	1063	650
PFLU_0464	OV986001.1	525340	526465	+	1126	1495
PFLU_0465	OV986001.1	526461	527268	+	808	518
PFLU_0466	OV986001.1	527267	528002	+	736	426
PFLU_0467	OV986001.1	527998	528751	+	754	393
PFLU_0468	OV986001.1	528750	530202	+	1453	1482
PFLU_0469	OV986001.1	530588	531569	+	982	20
PFLU_0470	OV986001.1	531568	531736	+	169	1
PFLU_0471	OV986001.1	531878	532805	+	928	7
PFLU_0472	OV986001.1	532811	534200	-	1390	378
PFLU_0473	OV986001.1	534275	536381	-	2107	213
PFLU_0474	OV986001.1	536553	536931	+	379	18
PFLU_0475	OV986001.1	537073	538831	+	1759	4764
PFLU_0476	OV986001.1	538831	539728	+	898	1155
PFLU_0477	OV986001.1	539697	541125	+	1429	1365
PFLU_0478	OV986001.1	541184	542333	+	1150	1425
PFLU_0479	OV986001.1	542329	543211	+	883	1514
PFLU_0480	OV986001.1	543265	545221	-	1957	1580
PFLU_0481	OV986001.1	545287	547093	+	1807	1822
PFLU_0482	OV986001.1	547362	548787	+	1426	1929
PFLU_0483	OV986001.1	548779	549706	+	928	1413
PFLU_0485	OV986001.1	550480	551440	-	961	535
PFLU_0486	OV986001.1	551481	552294	-	814	749
PFLU_0487	OV986001.1	552290	553466	-	1177	411
PFLU_0488	OV986001.1	553521	553857	-	337	61
PFLU_0489	OV986001.1	553959	554850	+	892	39
PFLU_0490	OV986001.1	554873	556151	+	1279	557
PFLU_0491	OV986001.1	556273	557713	-	1441	1187
PFLU_0492	OV986001.1	558161	560066	+	1906	226
PFLU_0493	OV986001.1	560228	561518	+	1291	27
PFLU_0494	OV986001.1	561486	562233	-	748	694
PFLU_0495	OV986001.1	562426	563044	+	619	234
PFLU_0496	OV986001.1	563034	563484	+	451	573
PFLU_0497	OV986001.1	563600	564398	+	799	567
PFLU_0498	OV986001.1	564604	565213	+	610	366
PFLU_0499	OV986001.1	565258	567163	+	1906	5169
PFLU_0500	OV986001.1	567162	568158	+	997	1082
PFLU_0501	OV986001.1	568231	570496	+	2266	7599
PFLU_0502	OV986001.1	570669	571383	+	715	783
PFLU_0503	OV986001.1	571506	573036	-	1531	1617
