Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	RefSeq
C3K082	unreviewed	C3K082_PSEFS	Acireductone dioxygenase (1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase) (DHK-MTPene dioxygenase) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)	mtnD PFLU_4336	Pseudomonas fluorescens (strain SBW25)	176	WP_015885102.1;
C3K220	unreviewed	C3K220_PSEFS	RecBCD enzyme subunit RecB (EC 3.1.11.5) (EC 5.6.2.4) (DNA 3'-5' helicase subunit RecB) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB)	recB PFLU_5213	Pseudomonas fluorescens (strain SBW25)	1224	WP_015885884.1;
C3K266	unreviewed	C3K266_PSEFS	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	hflB ftsH PFLU_5260	Pseudomonas fluorescens (strain SBW25)	639	
C3K271	unreviewed	C3K271_PSEFS	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB PFLU_5265	Pseudomonas fluorescens (strain SBW25)	1073	WP_015885927.1;
C3K3L3	unreviewed	C3K3L3_PSEFS	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	PFLU_5769	Pseudomonas fluorescens (strain SBW25)	197	
C3K472	unreviewed	C3K472_PSEFS	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC PFLU_5983	Pseudomonas fluorescens (strain SBW25)	402	WP_015886530.1;
C3K6J8	unreviewed	C3K6J8_PSEFS	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA PFLU_1647	Pseudomonas fluorescens (strain SBW25)	748	
C3K9R0	unreviewed	C3K9R0_PSEFS	Pyruvate dehydrogenase [ubiquinone] (EC 1.2.5.1) (Pyruvate oxidase) (POX) (Pyruvate:ubiquinone-8 oxidoreductase)	poxB PFLU_2653	Pseudomonas fluorescens (strain SBW25)	574	WP_012723849.1;
C3KAY5	unreviewed	C3KAY5_PSEFS	NAD-capped RNA hydrolase NudC (DeNADding enzyme NudC) (EC 3.6.1.-) (NADH pyrophosphatase) (EC 3.6.1.22)	nudC PFLU_2778	Pseudomonas fluorescens (strain SBW25)	277	WP_012723964.1;
C3KCS5	unreviewed	C3KCS5_PSEFS	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE PFLU_0942	Pseudomonas fluorescens (strain SBW25)	487	WP_012722291.1;
C3KDP2	unreviewed	C3KDP2_PSEFS	Multifunctional fusion protein [Includes: Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)]	cysN cysC PFLU_0761	Pseudomonas fluorescens (strain SBW25)	632	WP_012722133.1;
A0AA35HTS9	unreviewed	A0AA35HTS9_PSEFS	Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)	pckA PFLU_0267	Pseudomonas fluorescens (strain SBW25)	513	WP_012721692.1;
A0AA35HTW9	unreviewed	A0AA35HTW9_PSEFS	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	hisF PFLU_0331	Pseudomonas fluorescens (strain SBW25)	256	WP_003171107.1;
A0AA35HTZ0	unreviewed	A0AA35HTZ0_PSEFS	Urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase)	hutU PFLU_0361	Pseudomonas fluorescens (strain SBW25)	556	
A0AA35HU21	unreviewed	A0AA35HU21_PSEFS	D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (Gly-tRNA(Ala) deacylase) (EC 3.1.1.-)	dtd PFLU_0372	Pseudomonas fluorescens (strain SBW25)	145	WP_012721783.1;
A0AA35HU31	unreviewed	A0AA35HU31_PSEFS	Probable protein kinase UbiB (EC 2.7.-.-) (Ubiquinone biosynthesis protein UbiB)	ubiB PFLU_0387	Pseudomonas fluorescens (strain SBW25)	534	WP_012721797.1;
A0AA35HUM9	unreviewed	A0AA35HUM9_PSEFS	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	hemA PFLU_0737	Pseudomonas fluorescens (strain SBW25)	429	WP_012722109.1;
A0AA35HUQ3	unreviewed	A0AA35HUQ3_PSEFS	Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	hemF PFLU_0023	Pseudomonas fluorescens (strain SBW25)	310	WP_012721470.1;
A0AA35HUW1	unreviewed	A0AA35HUW1_PSEFS	ATP-dependent protease subunit HslV (EC 3.4.25.2)	hslV PFLU_0399	Pseudomonas fluorescens (strain SBW25)	176	WP_003171209.1;
A0AA35HUX5	unreviewed	A0AA35HUX5_PSEFS	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	hemE PFLU_0416	Pseudomonas fluorescens (strain SBW25)	355	WP_012721820.1;
A0AA35HUZ8	unreviewed	A0AA35HUZ8_PSEFS	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp PFLU_0899	Pseudomonas fluorescens (strain SBW25)	212	WP_012722253.1;
A0AA35HV33	unreviewed	A0AA35HV33_PSEFS	Probable peptidoglycan glycosyltransferase FtsW (PGT) (EC 2.4.99.28) (Cell division protein FtsW) (Cell wall polymerase) (Peptidoglycan polymerase) (PG polymerase)	ftsW PFLU_0946	Pseudomonas fluorescens (strain SBW25)	407	WP_012722295.1;
A0AA35HV52	unreviewed	A0AA35HV52_PSEFS	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA PFLU_0525	Pseudomonas fluorescens (strain SBW25)	429	WP_012721919.1;
A0AA35HV83	unreviewed	A0AA35HV83_PSEFS	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)	ubiE PFLU_0389	Pseudomonas fluorescens (strain SBW25)	256	WP_003171186.1;
A0AA35HVD0	unreviewed	A0AA35HVD0_PSEFS	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp PFLU_0355	Pseudomonas fluorescens (strain SBW25)	336	WP_003237460.1;
A0AA35HVG0	unreviewed	A0AA35HVG0_PSEFS	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	PFLU_0667	Pseudomonas fluorescens (strain SBW25)	317	WP_012722045.1;
A0AA35HVK9	unreviewed	A0AA35HVK9_PSEFS	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk PFLU_1240	Pseudomonas fluorescens (strain SBW25)	215	WP_012722567.1;
A0AA35HVP3	unreviewed	A0AA35HVP3_PSEFS	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY PFLU_0944	Pseudomonas fluorescens (strain SBW25)	360	WP_012722293.1;
A0AA35HVV6	unreviewed	A0AA35HVV6_PSEFS	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA PFLU_0933	Pseudomonas fluorescens (strain SBW25)	197	WP_007904374.1;
A0AA35HVW7	unreviewed	A0AA35HVW7_PSEFS	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC PFLU_0948	Pseudomonas fluorescens (strain SBW25)	481	WP_012722297.1;
A0AA35HVX1	unreviewed	A0AA35HVX1_PSEFS	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	pdxJ PFLU_1063	Pseudomonas fluorescens (strain SBW25)	247	WP_012722404.1;
A0AA35HW24	unreviewed	A0AA35HW24_PSEFS	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK PFLU_1142	Pseudomonas fluorescens (strain SBW25)	501	WP_012722480.1;
A0AA35HW36	unreviewed	A0AA35HW36_PSEFS	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA PFLU_1055	Pseudomonas fluorescens (strain SBW25)	496	WP_012722397.1;
A0AA35HW45	unreviewed	A0AA35HW45_PSEFS	Peptidyl-tRNA hydrolase (Pth) (EC 3.1.1.29)	pth PFLU_0730	Pseudomonas fluorescens (strain SBW25)	194	WP_012722104.1;
A0AA35HWA9	unreviewed	A0AA35HWA9_PSEFS	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG PFLU_0947	Pseudomonas fluorescens (strain SBW25)	356	WP_012722296.1;
A0AA35HWB5	unreviewed	A0AA35HWB5_PSEFS	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF PFLU_1297	Pseudomonas fluorescens (strain SBW25)	157	WP_012722614.1;
A0AA35HWB6	unreviewed	A0AA35HWB6_PSEFS	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	argG PFLU_1156	Pseudomonas fluorescens (strain SBW25)	405	WP_012722490.1;
A0AA35HWD2	unreviewed	A0AA35HWD2_PSEFS	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	pdxH PFLU_1328	Pseudomonas fluorescens (strain SBW25)	215	WP_012722640.1;
A0AA35HWK4	unreviewed	A0AA35HWK4_PSEFS	dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase)	dcd PFLU_1304	Pseudomonas fluorescens (strain SBW25)	188	WP_003189215.1;
A0AA35HWL6	unreviewed	A0AA35HWL6_PSEFS	Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G)	htpG PFLU_1830	Pseudomonas fluorescens (strain SBW25)	636	
A0AA35HWP7	unreviewed	A0AA35HWP7_PSEFS	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG PFLU_1161	Pseudomonas fluorescens (strain SBW25)	683	WP_012722495.1;
A0AA35HWS5	unreviewed	A0AA35HWS5_PSEFS	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	pdxB PFLU_1546	Pseudomonas fluorescens (strain SBW25)	380	WP_012722837.1;
A0AA35HX37	unreviewed	A0AA35HX37_PSEFS	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)	queF PFLU_1578	Pseudomonas fluorescens (strain SBW25)	276	WP_012722866.1;
A0AA35HX38	unreviewed	A0AA35HX38_PSEFS	Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]	glnD PFLU_1268	Pseudomonas fluorescens (strain SBW25)	900	WP_012722593.1;
A0AA35HX64	unreviewed	A0AA35HX64_PSEFS	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	surE PFLU_1299	Pseudomonas fluorescens (strain SBW25)	249	WP_012722616.1;
A0AA35HXB2	unreviewed	A0AA35HXB2_PSEFS	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)(+)-dependent glycerol-3-phosphate dehydrogenase) (NAD(P)H-dependent dihydroxyacetone-phosphate reductase)	gpsA PFLU_1840	Pseudomonas fluorescens (strain SBW25)	341	WP_012723107.1;
A0AA35HXE5	unreviewed	A0AA35HXE5_PSEFS	Molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)	mobA PFLU_1753	Pseudomonas fluorescens (strain SBW25)	200	WP_012723027.1;
A0AA35HXK3	unreviewed	A0AA35HXK3_PSEFS	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	serC PFLU_1644	Pseudomonas fluorescens (strain SBW25)	361	WP_012722929.1;
A0AA35HXN7	unreviewed	A0AA35HXN7_PSEFS	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PFLU_1823	Pseudomonas fluorescens (strain SBW25)	388	WP_003210567.1;
A0AA35HXT5	unreviewed	A0AA35HXT5_PSEFS	Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)	ubiG PFLU_1639	Pseudomonas fluorescens (strain SBW25)	232	WP_003172645.1;
A0AA35HY31	unreviewed	A0AA35HY31_PSEFS	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	nadK PFLU_2674	Pseudomonas fluorescens (strain SBW25)	296	WP_003190745.1;
A0AA35HYR0	unreviewed	A0AA35HYR0_PSEFS	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC PFLU_3042	Pseudomonas fluorescens (strain SBW25)	341	WP_012724222.1;
A0AA35HYW1	unreviewed	A0AA35HYW1_PSEFS	Oxaloacetate decarboxylase (EC 4.1.1.112)	PFLU_3105	Pseudomonas fluorescens (strain SBW25)	289	WP_012724281.1;
A0AA35I0S5	unreviewed	A0AA35I0S5_PSEFS	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS PFLU_4148	Pseudomonas fluorescens (strain SBW25)	640	WP_015884934.1;
A0AA35I0Z2	unreviewed	A0AA35I0Z2_PSEFS	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS PFLU_3797	Pseudomonas fluorescens (strain SBW25)	426	WP_012724933.1;
A0AA35I105	unreviewed	A0AA35I105_PSEFS	NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	nuoK PFLU_3827	Pseudomonas fluorescens (strain SBW25)	102	WP_003174727.1;
A0AA35I108	unreviewed	A0AA35I108_PSEFS	NADH-quinone oxidoreductase subunit H (EC 7.1.1.-) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	nuoH PFLU_3824	Pseudomonas fluorescens (strain SBW25)	335	WP_012724954.1;
A0AA35I132	unreviewed	A0AA35I132_PSEFS	UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) (UDP-2,3-diacylglucosamine diphosphatase)	lpxH PFLU_3874	Pseudomonas fluorescens (strain SBW25)	249	WP_012724995.1;
A0AA35I180	unreviewed	A0AA35I180_PSEFS	tRNA-cytidine(32) 2-sulfurtransferase (EC 2.8.1.-) (Two-thiocytidine biosynthesis protein A) (tRNA 2-thiocytidine biosynthesis protein TtcA)	ttcA PFLU_3786	Pseudomonas fluorescens (strain SBW25)	274	WP_012724923.1;
A0AA35I1C7	unreviewed	A0AA35I1C7_PSEFS	Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)	cobS PFLU_4481	Pseudomonas fluorescens (strain SBW25)	242	WP_015885232.1;
A0AA35I1L2	unreviewed	A0AA35I1L2_PSEFS	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (CKS) (CMP-KDO synthase)	kdsB PFLU_3770	Pseudomonas fluorescens (strain SBW25)	254	WP_012724908.1;
A0AA35I1W6	unreviewed	A0AA35I1W6_PSEFS	L-lactate dehydrogenase (EC 1.1.-.-)	lldD PFLU_4305	Pseudomonas fluorescens (strain SBW25)	385	
A0AA35I1Y2	unreviewed	A0AA35I1Y2_PSEFS	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA PFLU_3811	Pseudomonas fluorescens (strain SBW25)	374	WP_012724945.1;
A0AA35I239	unreviewed	A0AA35I239_PSEFS	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	gcvP PFLU_4897	Pseudomonas fluorescens (strain SBW25)	946	WP_015885598.1;
A0AA35I272	unreviewed	A0AA35I272_PSEFS	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	ruvC PFLU_4915	Pseudomonas fluorescens (strain SBW25)	174	WP_015885612.1;
A0AA35I2A6	unreviewed	A0AA35I2A6_PSEFS	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC PFLU_4338	Pseudomonas fluorescens (strain SBW25)	363	WP_015885104.1;
A0AA35I2A7	unreviewed	A0AA35I2A7_PSEFS	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	groEL groL PFLU_4987	Pseudomonas fluorescens (strain SBW25)	548	WP_015885679.1;
A0AA35I2B2	unreviewed	A0AA35I2B2_PSEFS	Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	purT PFLU_5017	Pseudomonas fluorescens (strain SBW25)	393	WP_014719785.1;
A0AA35I2E9	unreviewed	A0AA35I2E9_PSEFS	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA PFLU_5050	Pseudomonas fluorescens (strain SBW25)	559	WP_015885732.1;
A0AA35I2H5	unreviewed	A0AA35I2H5_PSEFS	Cysteine desulfurase IscS (EC 2.8.1.7)	iscS PFLU_5068	Pseudomonas fluorescens (strain SBW25)	404	WP_010207898.1;
A0AA35I2R2	unreviewed	A0AA35I2R2_PSEFS	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ (Flavocytochrome MsrQ)	msrQ PFLU_5215	Pseudomonas fluorescens (strain SBW25)	206	WP_015885886.1;
A0AA35I2S4	unreviewed	A0AA35I2S4_PSEFS	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	ilvC PFLU_5218	Pseudomonas fluorescens (strain SBW25)	338	WP_003176099.1;
A0AA35I2U4	unreviewed	A0AA35I2U4_PSEFS	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp PFLU_5249	Pseudomonas fluorescens (strain SBW25)	701	WP_015885915.1;
A0AA35I2V1	unreviewed	A0AA35I2V1_PSEFS	Acyl carrier protein (ACP)	acpP PFLU_4704	Pseudomonas fluorescens (strain SBW25)	78	WP_003175607.1;
A0AA35I2Z7	unreviewed	A0AA35I2Z7_PSEFS	tRNA/tmRNA (uracil-C(5))-methyltransferase (EC 2.1.1.35) (tRNA (uracil(54)-C(5))-methyltransferase) (tRNA(m5U54)-methyltransferase) (RUMT) (tmRNA (uracil(341)-C(5))-methyltransferase)	trmA PFLU_5353	Pseudomonas fluorescens (strain SBW25)	359	WP_015886002.1;
A0AA35I328	unreviewed	A0AA35I328_PSEFS	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE PFLU_5400	Pseudomonas fluorescens (strain SBW25)	209	WP_015886046.1;
A0AA35I357	unreviewed	A0AA35I357_PSEFS	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC PFLU_5444	Pseudomonas fluorescens (strain SBW25)	277	WP_015886084.1;
A0AA35I365	unreviewed	A0AA35I365_PSEFS	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	dxs PFLU_5462	Pseudomonas fluorescens (strain SBW25)	632	WP_015886097.1;
A0AA35I379	unreviewed	A0AA35I379_PSEFS	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	ribA PFLU_5466	Pseudomonas fluorescens (strain SBW25)	205	WP_015886101.1;
A0AA35I389	unreviewed	A0AA35I389_PSEFS	Holliday junction branch migration complex subunit RuvA	ruvA PFLU_4914	Pseudomonas fluorescens (strain SBW25)	203	WP_003175802.1;
A0AA35I3B8	unreviewed	A0AA35I3B8_PSEFS	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	coaX PFLU_5542	Pseudomonas fluorescens (strain SBW25)	249	WP_015886141.1;
